1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AD0000007DAAB541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:05:01 IST 2024
Mission Sample Count:  3250
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:05:01 IST 2024
Total Mission Samples:  3250
Total Device Samples:  13584
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:05:01 PM,C,22.047
13/1/24 10:05:01 PM,C,21.547
14/1/24 12:05:01 AM,C,21.547
14/1/24 2:05:01 AM,C,21.047
14/1/24 4:05:01 AM,C,21.047
14/1/24 6:05:01 AM,C,20.546
14/1/24 8:05:01 AM,C,18.046
14/1/24 10:05:01 AM,C,25.547
14/1/24 12:05:01 PM,C,23.547
14/1/24 2:05:01 PM,C,25.547
14/1/24 4:05:01 PM,C,25.547
14/1/24 6:05:01 PM,C,22.547
14/1/24 8:05:01 PM,C,18.546
14/1/24 10:05:01 PM,C,19.046
15/1/24 12:05:01 AM,C,20.046
15/1/24 2:05:01 AM,C,18.546
15/1/24 4:05:01 AM,C,16.546
15/1/24 6:05:01 AM,C,17.046
15/1/24 8:05:01 AM,C,17.546
15/1/24 10:05:01 AM,C,20.546
15/1/24 12:05:01 PM,C,23.047
15/1/24 2:05:01 PM,C,24.047
15/1/24 4:05:01 PM,C,23.547
15/1/24 6:05:01 PM,C,21.547
15/1/24 8:05:01 PM,C,19.046
15/1/24 10:05:01 PM,C,18.046
16/1/24 12:05:01 AM,C,17.546
16/1/24 2:05:01 AM,C,17.046
16/1/24 4:05:01 AM,C,16.045
16/1/24 6:05:01 AM,C,17.046
16/1/24 8:05:01 AM,C,17.546
16/1/24 10:05:01 AM,C,19.546
16/1/24 12:05:01 PM,C,22.547
16/1/24 2:05:01 PM,C,23.047
16/1/24 4:05:01 PM,C,23.547
16/1/24 6:05:01 PM,C,21.547
16/1/24 8:05:01 PM,C,19.046
16/1/24 10:05:01 PM,C,18.546
17/1/24 12:05:01 AM,C,18.546
17/1/24 2:05:01 AM,C,18.546
17/1/24 4:05:01 AM,C,18.546
17/1/24 6:05:01 AM,C,18.546
17/1/24 8:05:01 AM,C,18.046
17/1/24 10:05:01 AM,C,20.546
17/1/24 12:05:01 PM,C,22.547
17/1/24 2:05:01 PM,C,23.547
17/1/24 4:05:01 PM,C,23.047
17/1/24 6:05:01 PM,C,21.547
17/1/24 8:05:01 PM,C,18.546
17/1/24 10:05:01 PM,C,19.546
18/1/24 12:05:01 AM,C,19.546
18/1/24 2:05:01 AM,C,18.546
18/1/24 4:05:01 AM,C,18.046
18/1/24 6:05:01 AM,C,17.546
18/1/24 8:05:01 AM,C,18.046
18/1/24 10:05:01 AM,C,20.546
18/1/24 12:05:01 PM,C,22.047
18/1/24 2:05:01 PM,C,23.047
