1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B40000007D8DA041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:32:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:32:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  19309
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:32:01 PM,%RH,81.09
13/1/24 10:32:01 PM,%RH,77.733
14/1/24 12:32:01 AM,%RH,79.418
14/1/24 2:32:01 AM,%RH,78.858
14/1/24 4:32:01 AM,%RH,79.977
14/1/24 6:32:01 AM,%RH,80.534
14/1/24 8:32:01 AM,%RH,77.168
14/1/24 10:32:01 AM,%RH,81.644
14/1/24 12:32:01 PM,%RH,74.322
14/1/24 2:32:01 PM,%RH,73.172
14/1/24 4:32:01 PM,%RH,72.017
14/1/24 6:32:01 PM,%RH,83.845
14/1/24 8:32:01 PM,%RH,91.884
14/1/24 10:32:01 PM,%RH,91.359
15/1/24 12:32:01 AM,%RH,91.884
15/1/24 2:32:01 AM,%RH,90.832
15/1/24 4:32:01 AM,%RH,92.407
15/1/24 6:32:01 AM,%RH,96.031
15/1/24 8:32:01 AM,%RH,97.053
15/1/24 10:32:01 AM,%RH,91.359
15/1/24 12:32:01 PM,%RH,74.894
15/1/24 2:32:01 PM,%RH,72.595
15/1/24 4:32:01 PM,%RH,79.977
15/1/24 6:32:01 PM,%RH,90.832
15/1/24 8:32:01 PM,%RH,95.003
15/1/24 10:32:01 PM,%RH,97.561
16/1/24 12:32:01 AM,%RH,97.561
16/1/24 2:32:01 AM,%RH,99.078
16/1/24 4:32:01 AM,%RH,99.078
16/1/24 6:32:01 AM,%RH,96.543
16/1/24 8:32:01 AM,%RH,99.58
16/1/24 10:32:01 AM,%RH,94.487
16/1/24 12:32:01 PM,%RH,84.392
16/1/24 2:32:01 PM,%RH,82.748
16/1/24 4:32:01 PM,%RH,84.937
16/1/24 6:32:01 PM,%RH,91.884
16/1/24 8:32:01 PM,%RH,98.574
16/1/24 10:32:01 PM,%RH,98.574
17/1/24 12:32:01 AM,%RH,98.574
17/1/24 2:32:01 AM,%RH,99.078
17/1/24 4:32:01 AM,%RH,99.078
17/1/24 6:32:01 AM,%RH,99.078
17/1/24 8:32:01 AM,%RH,99.58
17/1/24 10:32:01 AM,%RH,96.543
17/1/24 12:32:01 PM,%RH,85.48
17/1/24 2:32:01 PM,%RH,84.392
17/1/24 4:32:01 PM,%RH,81.644
17/1/24 6:32:01 PM,%RH,89.774
17/1/24 8:32:01 PM,%RH,95.518
17/1/24 10:32:01 PM,%RH,98.068
18/1/24 12:32:01 AM,%RH,98.574
18/1/24 2:32:01 AM,%RH,98.574
18/1/24 4:32:01 AM,%RH,99.58
18/1/24 6:32:01 AM,%RH,99.078
18/1/24 8:32:01 AM,%RH,99.58
18/1/24 10:32:01 AM,%RH,95.518
18/1/24 12:32:01 PM,%RH,87.102
18/1/24 2:32:01 PM,%RH,85.48
18/1/24 4:32:01 PM,%RH,86.022
18/1/24 6:32:01 PM,%RH,92.407
18/1/24 8:32:01 PM,%RH,97.053
18/1/24 10:32:01 PM,%RH,98.068
19/1/24 12:32:01 AM,%RH,98.068
19/1/24 2:32:01 AM,%RH,99.078
19/1/24 4:32:01 AM,%RH,99.078
19/1/24 6:32:01 AM,%RH,100.081
19/1/24 8:32:01 AM,%RH,101.574
19/1/24 10:32:01 AM,%RH,97.053
