1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BF0000007DAC6841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:20:01 IST 2024
Mission Sample Count:  3250
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:20:01 IST 2024
Total Mission Samples:  3250
Total Device Samples:  11996
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:20:01 PM,%RH,79.719
13/1/24 10:20:01 PM,%RH,81.345
14/1/24 12:20:01 AM,%RH,80.805
14/1/24 2:20:01 AM,%RH,81.345
14/1/24 4:20:01 AM,%RH,81.345
14/1/24 6:20:01 AM,%RH,81.345
14/1/24 8:20:01 AM,%RH,84.553
14/1/24 10:20:01 AM,%RH,67.932
14/1/24 12:20:01 PM,%RH,69.085
14/1/24 2:20:01 PM,%RH,62.069
14/1/24 4:20:01 PM,%RH,73.634
14/1/24 6:20:01 PM,%RH,88.74
14/1/24 8:20:01 PM,%RH,89.771
14/1/24 10:20:01 PM,%RH,87.703
15/1/24 12:20:01 AM,%RH,86.135
15/1/24 2:20:01 AM,%RH,87.182
15/1/24 4:20:01 AM,%RH,93.829
15/1/24 6:20:01 AM,%RH,91.813
15/1/24 8:20:01 AM,%RH,94.329
15/1/24 10:20:01 AM,%RH,88.223
15/1/24 12:20:01 PM,%RH,75.313
15/1/24 2:20:01 PM,%RH,59.077
15/1/24 4:20:01 PM,%RH,76.424
15/1/24 6:20:01 PM,%RH,85.61
15/1/24 8:20:01 PM,%RH,93.327
15/1/24 10:20:01 PM,%RH,95.324
16/1/24 12:20:01 AM,%RH,96.805
16/1/24 2:20:01 AM,%RH,96.805
16/1/24 4:20:01 AM,%RH,98.756
16/1/24 6:20:01 AM,%RH,97.295
16/1/24 8:20:01 AM,%RH,98.756
16/1/24 10:20:01 AM,%RH,95.324
16/1/24 12:20:01 PM,%RH,78.079
16/1/24 2:20:01 PM,%RH,73.634
16/1/24 4:20:01 PM,%RH,86.66
16/1/24 6:20:01 PM,%RH,90.795
16/1/24 8:20:01 PM,%RH,94.827
16/1/24 10:20:01 PM,%RH,96.313
17/1/24 12:20:01 AM,%RH,97.295
17/1/24 2:20:01 AM,%RH,98.271
17/1/24 4:20:01 AM,%RH,98.756
17/1/24 6:20:01 AM,%RH,98.756
17/1/24 8:20:01 AM,%RH,98.756
17/1/24 10:20:01 AM,%RH,92.824
17/1/24 12:20:01 PM,%RH,82.956
17/1/24 2:20:01 PM,%RH,79.719
17/1/24 4:20:01 PM,%RH,79.174
17/1/24 6:20:01 PM,%RH,86.66
17/1/24 8:20:01 PM,%RH,93.829
17/1/24 10:20:01 PM,%RH,95.324
18/1/24 12:20:01 AM,%RH,97.295
18/1/24 2:20:01 AM,%RH,97.784
18/1/24 4:20:01 AM,%RH,98.271
18/1/24 6:20:01 AM,%RH,98.271
18/1/24 8:20:01 AM,%RH,98.756
18/1/24 10:20:01 AM,%RH,93.327
18/1/24 12:20:01 PM,%RH,81.884
18/1/24 2:20:01 PM,%RH,83.49
18/1/24 4:20:01 PM,%RH,85.082
18/1/24 6:20:01 PM,%RH,90.795
18/1/24 8:20:01 PM,%RH,94.827
18/1/24 10:20:01 PM,%RH,96.805
19/1/24 12:20:01 AM,%RH,96.805
19/1/24 2:20:01 AM,%RH,97.784
19/1/24 4:20:01 AM,%RH,97.784
19/1/24 6:20:01 AM,%RH,97.784
19/1/24 8:20:01 AM,%RH,99.722
19/1/24 10:20:01 AM,%RH,96.313
19/1/24 12:20:01 PM,%RH,84.553
19/1/24 2:20:01 PM,%RH,84.023
19/1/24 4:20:01 PM,%RH,88.223
19/1/24 6:20:01 PM,%RH,92.319
19/1/24 8:20:01 PM,%RH,96.805
19/1/24 10:20:01 PM,%RH,96.805
20/1/24 12:20:01 AM,%RH,97.784
20/1/24 2:20:01 AM,%RH,99.24
20/1/24 4:20:01 AM,%RH,98.756
20/1/24 6:20:01 AM,%RH,98.271
20/1/24 8:20:01 AM,%RH,98.271
20/1/24 10:20:01 AM,%RH,95.324
20/1/24 12:20:01 PM,%RH,82.956
20/1/24 2:20:01 PM,%RH,78.627
20/1/24 4:20:01 PM,%RH,86.66
20/1/24 6:20:01 PM,%RH,91.305
20/1/24 8:20:01 PM,%RH,95.324
20/1/24 10:20:01 PM,%RH,97.295
21/1/24 12:20:01 AM,%RH,97.295
21/1/24 2:20:01 AM,%RH,98.271
21/1/24 4:20:01 AM,%RH,99.24
21/1/24 6:20:01 AM,%RH,99.722
21/1/24 8:20:01 AM,%RH,99.722
21/1/24 10:20:01 AM,%RH,96.313
21/1/24 12:20:01 PM,%RH,76.424
21/1/24 2:20:01 PM,%RH,65.021
21/1/24 4:20:01 PM,%RH,81.345
21/1/24 6:20:01 PM,%RH,84.023
21/1/24 8:20:01 PM,%RH,92.824
21/1/24 10:20:01 PM,%RH,96.313
22/1/24 12:20:01 AM,%RH,98.271
22/1/24 2:20:01 AM,%RH,98.271
22/1/24 4:20:01 AM,%RH,98.271
22/1/24 6:20:01 AM,%RH,98.756
22/1/24 8:20:01 AM,%RH,99.24
22/1/24 10:20:01 AM,%RH,95.819
22/1/24 12:20:01 PM,%RH,80.805
22/1/24 2:20:01 PM,%RH,82.956
22/1/24 4:20:01 PM,%RH,83.49
22/1/24 6:20:01 PM,%RH,88.74
22/1/24 8:20:01 PM,%RH,94.827
22/1/24 10:20:01 PM,%RH,96.313
23/1/24 12:20:01 AM,%RH,97.784
23/1/24 2:20:01 AM,%RH,97.784
23/1/24 4:20:01 AM,%RH,97.784
23/1/24 6:20:01 AM,%RH,98.756
23/1/24 8:20:01 AM,%RH,99.722
23/1/24 10:20:01 AM,%RH,93.327
23/1/24 12:20:01 PM,%RH,83.49
23/1/24 2:20:01 PM,%RH,83.49
23/1/24 4:20:01 PM,%RH,86.135
23/1/24 6:20:01 PM,%RH,84.023
23/1/24 8:20:01 PM,%RH,93.327
23/1/24 10:20:01 PM,%RH,95.819
24/1/24 12:20:01 AM,%RH,97.295
24/1/24 2:20:01 AM,%RH,97.784
24/1/24 4:20:01 AM,%RH,97.784
24/1/24 6:20:01 AM,%RH,98.271
24/1/24 8:20:01 AM,%RH,99.24
24/1/24 10:20:01 AM,%RH,85.082
24/1/24 12:20:01 PM,%RH,76.977
24/1/24 2:20:01 PM,%RH,74.195
24/1/24 4:20:01 PM,%RH,77.529
24/1/24 6:20:01 PM,%RH,84.023
24/1/24 8:20:01 PM,%RH,91.305
24/1/24 10:20:01 PM,%RH,94.827
25/1/24 12:20:01 AM,%RH,96.805
25/1/24 2:20:01 AM,%RH,91.305
25/1/24 4:20:01 AM,%RH,94.827
25/1/24 6:20:01 AM,%RH,96.313
25/1/24 8:20:01 AM,%RH,99.24
25/1/24 10:20:01 AM,%RH,85.61
25/1/24 12:20:01 PM,%RH,82.421
25/1/24 2:20:01 PM,%RH,77.529
25/1/24 4:20:01 PM,%RH,80.263
25/1/24 6:20:01 PM,%RH,86.66
25/1/24 8:20:01 PM,%RH,94.329
25/1/24 10:20:01 PM,%RH,96.313
26/1/24 12:20:01 AM,%RH,98.271
26/1/24 2:20:01 AM,%RH,98.271
26/1/24 4:20:01 AM,%RH,98.271
26/1/24 6:20:01 AM,%RH,97.784
26/1/24 8:20:01 AM,%RH,96.313
26/1/24 10:20:01 AM,%RH,90.284
26/1/24 12:20:01 PM,%RH,74.755
26/1/24 2:20:01 PM,%RH,69.085
26/1/24 4:20:01 PM,%RH,61.474
26/1/24 6:20:01 PM,%RH,80.805
26/1/24 8:20:01 PM,%RH,92.824
26/1/24 10:20:01 PM,%RH,95.324
27/1/24 12:20:01 AM,%RH,96.313
27/1/24 2:20:01 AM,%RH,92.319
27/1/24 4:20:01 AM,%RH,91.813
27/1/24 6:20:01 AM,%RH,92.824
27/1/24 8:20:01 AM,%RH,95.819
27/1/24 10:20:01 AM,%RH,84.023
27/1/24 12:20:01 PM,%RH,69.66
27/1/24 2:20:01 PM,%RH,65.606
27/1/24 4:20:01 PM,%RH,58.474
27/1/24 6:20:01 PM,%RH,70.803
27/1/24 8:20:01 PM,%RH,82.421
27/1/24 10:20:01 PM,%RH,85.61
28/1/24 12:20:01 AM,%RH,85.61
28/1/24 2:20:01 AM,%RH,88.223
28/1/24 4:20:01 AM,%RH,90.795
28/1/24 6:20:01 AM,%RH,94.827
28/1/24 8:20:01 AM,%RH,96.313
28/1/24 10:20:01 AM,%RH,83.49
28/1/24 12:20:01 PM,%RH,69.66
28/1/24 2:20:01 PM,%RH,57.869
28/1/24 4:20:01 PM,%RH,60.877
28/1/24 6:20:01 PM,%RH,78.079
