1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C10000007D8CF941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:42:01 IST 2024
Mission Sample Count:  3298
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:42:01 IST 2024
Total Mission Samples:  3298
Total Device Samples:  12756
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:42:01 PM,C,22.63
9/1/24 11:42:01 PM,C,22.13
10/1/24 1:42:01 AM,C,21.63
10/1/24 3:42:01 AM,C,21.129
10/1/24 5:42:01 AM,C,21.129
10/1/24 7:42:01 AM,C,20.629
10/1/24 9:42:01 AM,C,21.129
10/1/24 11:42:01 AM,C,22.13
10/1/24 1:42:01 PM,C,22.13
10/1/24 3:42:01 PM,C,22.63
10/1/24 5:42:01 PM,C,22.63
10/1/24 7:42:01 PM,C,22.13
10/1/24 9:42:01 PM,C,22.13
10/1/24 11:42:01 PM,C,21.63
11/1/24 1:42:01 AM,C,21.129
11/1/24 3:42:01 AM,C,21.129
11/1/24 5:42:01 AM,C,20.629
11/1/24 7:42:01 AM,C,20.629
11/1/24 9:42:01 AM,C,20.129
11/1/24 11:42:01 AM,C,24.131
11/1/24 1:42:01 PM,C,24.131
11/1/24 3:42:01 PM,C,25.131
11/1/24 5:42:01 PM,C,22.63
11/1/24 7:42:01 PM,C,20.129
11/1/24 9:42:01 PM,C,20.629
11/1/24 11:42:01 PM,C,17.626
12/1/24 1:42:01 AM,C,18.127
12/1/24 3:42:01 AM,C,17.626
12/1/24 5:42:01 AM,C,17.126
12/1/24 7:42:01 AM,C,16.625
12/1/24 9:42:01 AM,C,18.627
12/1/24 11:42:01 AM,C,21.129
12/1/24 1:42:01 PM,C,23.631
12/1/24 3:42:01 PM,C,24.131
12/1/24 5:42:01 PM,C,22.13
12/1/24 7:42:01 PM,C,20.129
12/1/24 9:42:01 PM,C,18.627
12/1/24 11:42:01 PM,C,17.126
13/1/24 1:42:01 AM,C,16.124
13/1/24 3:42:01 AM,C,16.124
13/1/24 5:42:01 AM,C,15.624
13/1/24 7:42:01 AM,C,17.126
13/1/24 9:42:01 AM,C,18.627
13/1/24 11:42:01 AM,C,21.129
13/1/24 1:42:01 PM,C,24.631
13/1/24 3:42:01 PM,C,25.131
13/1/24 5:42:01 PM,C,22.13
13/1/24 7:42:01 PM,C,19.628
13/1/24 9:42:01 PM,C,19.628
13/1/24 11:42:01 PM,C,19.128
14/1/24 1:42:01 AM,C,18.627
14/1/24 3:42:01 AM,C,18.127
14/1/24 5:42:01 AM,C,18.127
14/1/24 7:42:01 AM,C,18.127
14/1/24 9:42:01 AM,C,19.128
14/1/24 11:42:01 AM,C,25.131
14/1/24 1:42:01 PM,C,24.131
14/1/24 3:42:01 PM,C,26.131
14/1/24 5:42:01 PM,C,23.13
14/1/24 7:42:01 PM,C,19.628
14/1/24 9:42:01 PM,C,20.629
14/1/24 11:42:01 PM,C,20.629
15/1/24 1:42:01 AM,C,19.128
15/1/24 3:42:01 AM,C,17.626
15/1/24 5:42:01 AM,C,16.124
15/1/24 7:42:01 AM,C,16.124
15/1/24 9:42:01 AM,C,19.128
15/1/24 11:42:01 AM,C,22.63
15/1/24 1:42:01 PM,C,24.631
15/1/24 3:42:01 PM,C,23.631
15/1/24 5:42:01 PM,C,21.63
15/1/24 7:42:01 PM,C,19.628
15/1/24 9:42:01 PM,C,19.128
15/1/24 11:42:01 PM,C,18.627
16/1/24 1:42:01 AM,C,18.627
16/1/24 3:42:01 AM,C,18.627
16/1/24 5:42:01 AM,C,17.626
16/1/24 7:42:01 AM,C,17.126
16/1/24 9:42:01 AM,C,18.627
16/1/24 11:42:01 AM,C,23.631
16/1/24 1:42:01 PM,C,24.131
16/1/24 3:42:01 PM,C,22.63
16/1/24 5:42:01 PM,C,21.63
16/1/24 7:42:01 PM,C,19.628
16/1/24 9:42:01 PM,C,19.128
16/1/24 11:42:01 PM,C,19.628
17/1/24 1:42:01 AM,C,18.627
17/1/24 3:42:01 AM,C,19.128
17/1/24 5:42:01 AM,C,18.627
17/1/24 7:42:01 AM,C,17.626
17/1/24 9:42:01 AM,C,20.629
17/1/24 11:42:01 AM,C,22.63
17/1/24 1:42:01 PM,C,23.13
17/1/24 3:42:01 PM,C,22.63
17/1/24 5:42:01 PM,C,21.63
17/1/24 7:42:01 PM,C,20.129
17/1/24 9:42:01 PM,C,20.129
17/1/24 11:42:01 PM,C,19.628
18/1/24 1:42:01 AM,C,18.127
18/1/24 3:42:01 AM,C,18.127
18/1/24 5:42:01 AM,C,17.626
18/1/24 7:42:01 AM,C,18.627
18/1/24 9:42:01 AM,C,20.629
18/1/24 11:42:01 AM,C,22.63
18/1/24 1:42:01 PM,C,23.13
18/1/24 3:42:01 PM,C,23.13
18/1/24 5:42:01 PM,C,21.63
18/1/24 7:42:01 PM,C,20.129
18/1/24 9:42:01 PM,C,20.129
18/1/24 11:42:01 PM,C,19.128
19/1/24 1:42:01 AM,C,19.128
19/1/24 3:42:01 AM,C,19.128
19/1/24 5:42:01 AM,C,17.626
19/1/24 7:42:01 AM,C,18.627
19/1/24 9:42:01 AM,C,19.628
19/1/24 11:42:01 AM,C,21.63
19/1/24 1:42:01 PM,C,23.631
19/1/24 3:42:01 PM,C,23.13
19/1/24 5:42:01 PM,C,22.13
19/1/24 7:42:01 PM,C,20.629
19/1/24 9:42:01 PM,C,20.129
19/1/24 11:42:01 PM,C,18.627
20/1/24 1:42:01 AM,C,18.627
20/1/24 3:42:01 AM,C,18.627
20/1/24 5:42:01 AM,C,17.126
20/1/24 7:42:01 AM,C,17.626
20/1/24 9:42:01 AM,C,19.628
20/1/24 11:42:01 AM,C,22.63
20/1/24 1:42:01 PM,C,23.631
20/1/24 3:42:01 PM,C,23.631
20/1/24 5:42:01 PM,C,22.13
20/1/24 7:42:01 PM,C,20.629
20/1/24 9:42:01 PM,C,20.129
20/1/24 11:42:01 PM,C,19.628
21/1/24 1:42:01 AM,C,19.628
21/1/24 3:42:01 AM,C,19.128
21/1/24 5:42:01 AM,C,18.627
21/1/24 7:42:01 AM,C,18.127
21/1/24 9:42:01 AM,C,19.628
21/1/24 11:42:01 AM,C,23.13
21/1/24 1:42:01 PM,C,24.631
21/1/24 3:42:01 PM,C,24.131
21/1/24 5:42:01 PM,C,22.63
21/1/24 7:42:01 PM,C,21.129
21/1/24 9:42:01 PM,C,20.629
