1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C80000007D82AE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:35:01 IST 2024
Mission Sample Count:  2720
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:35:01 IST 2024
Total Mission Samples:  2720
Total Device Samples:  11521
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:35:01 PM,%RH,86.022
9/1/24 11:35:01 PM,%RH,86.022
10/1/24 1:35:01 AM,%RH,84.392
10/1/24 3:35:01 AM,%RH,83.845
10/1/24 5:35:01 AM,%RH,83.297
10/1/24 7:35:01 AM,%RH,83.845
10/1/24 9:35:01 AM,%RH,84.392
10/1/24 11:35:01 AM,%RH,77.733
10/1/24 1:35:01 PM,%RH,74.894
10/1/24 3:35:01 PM,%RH,76.034
10/1/24 5:35:01 PM,%RH,79.418
10/1/24 7:35:01 PM,%RH,81.644
10/1/24 9:35:01 PM,%RH,80.534
10/1/24 11:35:01 PM,%RH,79.418
11/1/24 1:35:01 AM,%RH,79.977
11/1/24 3:35:01 AM,%RH,79.977
11/1/24 5:35:01 AM,%RH,81.09
11/1/24 7:35:01 AM,%RH,81.644
11/1/24 9:35:01 AM,%RH,82.748
11/1/24 11:35:01 AM,%RH,58.906
11/1/24 1:35:01 PM,%RH,53.956
11/1/24 3:35:01 PM,%RH,50.813
11/1/24 5:35:01 PM,%RH,74.322
11/1/24 7:35:01 PM,%RH,87.102
11/1/24 9:35:01 PM,%RH,92.407
11/1/24 11:35:01 PM,%RH,76.034
12/1/24 1:35:01 AM,%RH,77.168
12/1/24 3:35:01 AM,%RH,83.845
12/1/24 5:35:01 AM,%RH,87.639
12/1/24 7:35:01 AM,%RH,89.242
12/1/24 9:35:01 AM,%RH,73.172
12/1/24 11:35:01 AM,%RH,59.518
12/1/24 1:35:01 PM,%RH,49.545
12/1/24 3:35:01 PM,%RH,52.703
12/1/24 5:35:01 PM,%RH,68.514
12/1/24 7:35:01 PM,%RH,88.175
12/1/24 9:35:01 PM,%RH,90.832
12/1/24 11:35:01 PM,%RH,92.407
13/1/24 1:35:01 AM,%RH,79.418
13/1/24 3:35:01 AM,%RH,86.563
13/1/24 5:35:01 AM,%RH,91.359
13/1/24 7:35:01 AM,%RH,92.407
13/1/24 9:35:01 AM,%RH,88.175
13/1/24 11:35:01 AM,%RH,63.158
13/1/24 1:35:01 PM,%RH,58.906
13/1/24 3:35:01 PM,%RH,58.906
13/1/24 5:35:01 PM,%RH,84.392
13/1/24 7:35:01 PM,%RH,92.93
13/1/24 9:35:01 PM,%RH,95.518
13/1/24 11:35:01 PM,%RH,96.543
14/1/24 1:35:01 AM,%RH,98.574
14/1/24 3:35:01 AM,%RH,91.884
14/1/24 5:35:01 AM,%RH,89.242
14/1/24 7:35:01 AM,%RH,90.303
14/1/24 9:35:01 AM,%RH,86.563
14/1/24 11:35:01 AM,%RH,68.514
14/1/24 1:35:01 PM,%RH,53.33
14/1/24 3:35:01 PM,%RH,71.437
14/1/24 5:35:01 PM,%RH,85.48
14/1/24 7:35:01 PM,%RH,89.774
14/1/24 9:35:01 PM,%RH,95.518
14/1/24 11:35:01 PM,%RH,73.748
15/1/24 1:35:01 AM,%RH,78.858
15/1/24 3:35:01 AM,%RH,91.884
15/1/24 5:35:01 AM,%RH,88.709
15/1/24 7:35:01 AM,%RH,89.774
15/1/24 9:35:01 AM,%RH,89.242
15/1/24 11:35:01 AM,%RH,72.017
15/1/24 1:35:01 PM,%RH,73.748
15/1/24 3:35:01 PM,%RH,78.296
15/1/24 5:35:01 PM,%RH,82.748
15/1/24 7:35:01 PM,%RH,92.407
15/1/24 9:35:01 PM,%RH,96.543
15/1/24 11:35:01 PM,%RH,97.053
16/1/24 1:35:01 AM,%RH,99.58
16/1/24 3:35:01 AM,%RH,99.078
16/1/24 5:35:01 AM,%RH,97.053
