1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA0000007D82BD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:49:01 IST 2024
Mission Sample Count:  3943
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:49:01 IST 2024
Total Mission Samples:  3943
Total Device Samples:  13581
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:49:01 PM,%RH,87.153
14/1/24 11:49:01 PM,%RH,89.291
15/1/24 1:49:01 AM,%RH,82.807
15/1/24 3:49:01 AM,%RH,82.807
15/1/24 5:49:01 AM,%RH,82.807
15/1/24 7:49:01 AM,%RH,83.355
15/1/24 9:49:01 AM,%RH,73.831
15/1/24 11:49:01 AM,%RH,73.258
15/1/24 1:49:01 PM,%RH,65.074
15/1/24 3:49:01 PM,%RH,70.949
15/1/24 5:49:01 PM,%RH,78.366
15/1/24 7:49:01 PM,%RH,82.807
15/1/24 9:49:01 PM,%RH,90.879
15/1/24 11:49:01 PM,%RH,93.496
16/1/24 1:49:01 AM,%RH,88.759
16/1/24 3:49:01 AM,%RH,89.291
16/1/24 5:49:01 AM,%RH,87.153
16/1/24 7:49:01 AM,%RH,91.93
16/1/24 9:49:01 AM,%RH,90.351
16/1/24 11:49:01 AM,%RH,74.974
16/1/24 1:49:01 PM,%RH,65.074
16/1/24 3:49:01 PM,%RH,77.805
16/1/24 5:49:01 PM,%RH,87.153
16/1/24 7:49:01 PM,%RH,93.496
16/1/24 9:49:01 PM,%RH,98.113
16/1/24 11:49:01 PM,%RH,98.619
17/1/24 1:49:01 AM,%RH,99.123
17/1/24 3:49:01 AM,%RH,99.123
17/1/24 5:49:01 AM,%RH,100.127
17/1/24 7:49:01 AM,%RH,99.626
17/1/24 9:49:01 AM,%RH,92.453
17/1/24 11:49:01 AM,%RH,80.598
17/1/24 1:49:01 PM,%RH,81.153
17/1/24 3:49:01 PM,%RH,78.366
17/1/24 5:49:01 PM,%RH,82.807
17/1/24 7:49:01 PM,%RH,87.69
17/1/24 9:49:01 PM,%RH,96.587
17/1/24 11:49:01 PM,%RH,98.113
18/1/24 1:49:01 AM,%RH,99.123
18/1/24 3:49:01 AM,%RH,98.619
18/1/24 5:49:01 AM,%RH,98.619
18/1/24 7:49:01 AM,%RH,99.626
18/1/24 9:49:01 AM,%RH,95.048
18/1/24 11:49:01 AM,%RH,79.485
18/1/24 1:49:01 PM,%RH,72.683
18/1/24 3:49:01 PM,%RH,84.992
18/1/24 5:49:01 PM,%RH,87.153
18/1/24 7:49:01 PM,%RH,95.048
18/1/24 9:49:01 PM,%RH,97.606
18/1/24 11:49:01 PM,%RH,98.619
19/1/24 1:49:01 AM,%RH,99.123
19/1/24 3:49:01 AM,%RH,99.123
19/1/24 5:49:01 AM,%RH,100.127
19/1/24 7:49:01 AM,%RH,100.627
19/1/24 9:49:01 AM,%RH,98.113
19/1/24 11:49:01 AM,%RH,83.902
19/1/24 1:49:01 PM,%RH,85.534
19/1/24 3:49:01 PM,%RH,88.759
19/1/24 5:49:01 PM,%RH,91.405
19/1/24 7:49:01 PM,%RH,95.563
19/1/24 9:49:01 PM,%RH,98.113
19/1/24 11:49:01 PM,%RH,99.123
20/1/24 1:49:01 AM,%RH,100.127
20/1/24 3:49:01 AM,%RH,98.619
20/1/24 5:49:01 AM,%RH,98.113
20/1/24 7:49:01 AM,%RH,99.626
20/1/24 9:49:01 AM,%RH,94.532
20/1/24 11:49:01 AM,%RH,86.075
20/1/24 1:49:01 PM,%RH,84.448
20/1/24 3:49:01 PM,%RH,87.153
20/1/24 5:49:01 PM,%RH,90.879
20/1/24 7:49:01 PM,%RH,94.532
20/1/24 9:49:01 PM,%RH,97.097
20/1/24 11:49:01 PM,%RH,98.113
21/1/24 1:49:01 AM,%RH,99.626
21/1/24 3:49:01 AM,%RH,101.622
21/1/24 5:49:01 AM,%RH,100.627
21/1/24 7:49:01 AM,%RH,100.627
21/1/24 9:49:01 AM,%RH,95.048
21/1/24 11:49:01 AM,%RH,78.927
21/1/24 1:49:01 PM,%RH,70.368
21/1/24 3:49:01 PM,%RH,77.241
21/1/24 5:49:01 PM,%RH,80.598
21/1/24 7:49:01 PM,%RH,94.015
21/1/24 9:49:01 PM,%RH,96.587
21/1/24 11:49:01 PM,%RH,97.606
22/1/24 1:49:01 AM,%RH,98.619
22/1/24 3:49:01 AM,%RH,98.619
22/1/24 5:49:01 AM,%RH,101.125
22/1/24 7:49:01 AM,%RH,101.125
22/1/24 9:49:01 AM,%RH,95.048
22/1/24 11:49:01 AM,%RH,78.927
22/1/24 1:49:01 PM,%RH,73.258
22/1/24 3:49:01 PM,%RH,79.485
22/1/24 5:49:01 PM,%RH,80.598
22/1/24 7:49:01 PM,%RH,94.015
22/1/24 9:49:01 PM,%RH,97.097
22/1/24 11:49:01 PM,%RH,97.097
23/1/24 1:49:01 AM,%RH,97.606
23/1/24 3:49:01 AM,%RH,98.619
23/1/24 5:49:01 AM,%RH,99.626
23/1/24 7:49:01 AM,%RH,96.587
23/1/24 9:49:01 AM,%RH,91.405
23/1/24 11:49:01 AM,%RH,76.111
23/1/24 1:49:01 PM,%RH,78.366
23/1/24 3:49:01 PM,%RH,82.257
23/1/24 5:49:01 PM,%RH,85.534
23/1/24 7:49:01 PM,%RH,89.822
23/1/24 9:49:01 PM,%RH,91.405
23/1/24 11:49:01 PM,%RH,93.496
24/1/24 1:49:01 AM,%RH,95.048
24/1/24 3:49:01 AM,%RH,87.69
24/1/24 5:49:01 AM,%RH,88.225
24/1/24 7:49:01 AM,%RH,84.448
24/1/24 9:49:01 AM,%RH,75.543
24/1/24 11:49:01 AM,%RH,72.683
