1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CC0000007D839141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 22:04:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 22:04:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  13646
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 10:04:01 PM,%RH,81.763
12/1/24 12:04:01 AM,%RH,82.306
12/1/24 2:04:01 AM,%RH,82.846
12/1/24 4:04:01 AM,%RH,82.846
12/1/24 6:04:01 AM,%RH,82.846
12/1/24 8:04:01 AM,%RH,82.846
12/1/24 10:04:01 AM,%RH,83.385
12/1/24 12:04:01 PM,%RH,77.368
12/1/24 2:04:01 PM,%RH,70.008
12/1/24 4:04:01 PM,%RH,65.344
12/1/24 6:04:01 PM,%RH,80.127
12/1/24 8:04:01 PM,%RH,82.306
12/1/24 10:04:01 PM,%RH,82.846
13/1/24 12:04:01 AM,%RH,82.846
13/1/24 2:04:01 AM,%RH,69.43
13/1/24 4:04:01 AM,%RH,47.581
13/1/24 6:04:01 AM,%RH,34.547
13/1/24 8:04:01 AM,%RH,17.356
13/1/24 10:04:01 AM,%RH,43.738
13/1/24 12:04:01 PM,%RH,78.477
13/1/24 2:04:01 PM,%RH,74.569
13/1/24 4:04:01 PM,%RH,76.253
13/1/24 6:04:01 PM,%RH,70.584
13/1/24 8:04:01 PM,%RH,46.306
13/1/24 10:04:01 PM,%RH,-20.023
14/1/24 12:04:01 AM,%RH,67.689
14/1/24 2:04:01 AM,%RH,53.237
14/1/24 4:04:01 AM,%RH,64.754
14/1/24 6:04:01 AM,%RH,53.237
14/1/24 8:04:01 AM,%RH,39.181
14/1/24 10:04:01 AM,%RH,27.106
14/1/24 12:04:01 PM,%RH,81.22
14/1/24 2:04:01 PM,%RH,79.028
14/1/24 4:04:01 PM,%RH,75.694
14/1/24 6:04:01 PM,%RH,55.094
14/1/24 8:04:01 PM,%RH,54.477
14/1/24 10:04:01 PM,%RH,83.385
15/1/24 12:04:01 AM,%RH,83.385
15/1/24 2:04:01 AM,%RH,83.923
15/1/24 4:04:01 AM,%RH,81.763
15/1/24 6:04:01 AM,%RH,50.111
15/1/24 8:04:01 AM,%RH,18.063
15/1/24 10:04:01 AM,%RH,32.537
15/1/24 12:04:01 PM,%RH,82.306
15/1/24 2:04:01 PM,%RH,73.438
15/1/24 4:04:01 PM,%RH,80.127
15/1/24 6:04:01 PM,%RH,81.763
15/1/24 8:04:01 PM,%RH,68.851
15/1/24 10:04:01 PM,%RH,15.937
16/1/24 12:04:01 AM,%RH,5.095
16/1/24 2:04:01 AM,%RH,23.66
16/1/24 4:04:01 AM,%RH,57.547
16/1/24 6:04:01 AM,%RH,30.512
16/1/24 8:04:01 AM,%RH,5.829
16/1/24 10:04:01 AM,%RH,-6.106
16/1/24 12:04:01 PM,%RH,83.385
16/1/24 2:04:01 PM,%RH,82.846
16/1/24 4:04:01 PM,%RH,81.763
16/1/24 6:04:01 PM,%RH,56.324
16/1/24 8:04:01 PM,%RH,-5.348
16/1/24 10:04:01 PM,%RH,-20.811
17/1/24 12:04:01 AM,%RH,-21.601
17/1/24 2:04:01 AM,%RH,-23.185
17/1/24 4:04:01 AM,%RH,-23.98
17/1/24 6:04:01 AM,%RH,-24.776
17/1/24 8:04:01 AM,%RH,-22.392
17/1/24 10:04:01 AM,%RH,-10.687
17/1/24 12:04:01 PM,%RH,59.371
17/1/24 2:04:01 PM,%RH,74.005
17/1/24 4:04:01 PM,%RH,76.812
17/1/24 6:04:01 PM,%RH,72.871
17/1/24 8:04:01 PM,%RH,27.106
17/1/24 10:04:01 PM,%RH,-21.601
18/1/24 12:04:01 AM,%RH,-22.392
18/1/24 2:04:01 AM,%RH,-22.392
18/1/24 4:04:01 AM,%RH,-23.98
18/1/24 6:04:01 AM,%RH,-24.776
18/1/24 8:04:01 AM,%RH,-21.601
18/1/24 10:04:01 AM,%RH,-7.627
18/1/24 12:04:01 PM,%RH,62.377
18/1/24 2:04:01 PM,%RH,66.52
18/1/24 4:04:01 PM,%RH,70.008
18/1/24 6:04:01 PM,%RH,48.216
18/1/24 8:04:01 PM,%RH,-17.667
18/1/24 10:04:01 PM,%RH,-21.601
19/1/24 12:04:01 AM,%RH,-22.392
19/1/24 2:04:01 AM,%RH,-23.185
19/1/24 4:04:01 AM,%RH,-23.98
19/1/24 6:04:01 AM,%RH,-24.776
19/1/24 8:04:01 AM,%RH,-22.392
19/1/24 10:04:01 AM,%RH,-19.236
19/1/24 12:04:01 PM,%RH,28.473
19/1/24 2:04:01 PM,%RH,61.779
19/1/24 4:04:01 PM,%RH,56.324
19/1/24 6:04:01 PM,%RH,18.768
19/1/24 8:04:01 PM,%RH,-19.236
19/1/24 10:04:01 PM,%RH,-21.601
20/1/24 12:04:01 AM,%RH,-22.392
20/1/24 2:04:01 AM,%RH,-23.185
20/1/24 4:04:01 AM,%RH,-7.627
20/1/24 6:04:01 AM,%RH,-23.185
20/1/24 8:04:01 AM,%RH,-23.185
20/1/24 10:04:01 AM,%RH,-20.023
20/1/24 12:04:01 PM,%RH,61.179
20/1/24 2:04:01 PM,%RH,75.694
20/1/24 4:04:01 PM,%RH,59.975
20/1/24 6:04:01 PM,%RH,27.106
20/1/24 8:04:01 PM,%RH,-13
20/1/24 10:04:01 PM,%RH,-20.811
21/1/24 12:04:01 AM,%RH,-23.98
21/1/24 2:04:01 AM,%RH,-23.185
21/1/24 4:04:01 AM,%RH,-23.185
21/1/24 6:04:01 AM,%RH,-24.776
21/1/24 8:04:01 AM,%RH,-22.392
21/1/24 10:04:01 AM,%RH,-20.023
21/1/24 12:04:01 PM,%RH,50.739
21/1/24 2:04:01 PM,%RH,70.584
21/1/24 4:04:01 PM,%RH,70.008
21/1/24 6:04:01 PM,%RH,62.377
21/1/24 8:04:01 PM,%RH,-14.549
21/1/24 10:04:01 PM,%RH,-16.105
22/1/24 12:04:01 AM,%RH,-16.885
22/1/24 2:04:01 AM,%RH,-18.451
22/1/24 4:04:01 AM,%RH,-20.023
22/1/24 6:04:01 AM,%RH,-20.023
22/1/24 8:04:01 AM,%RH,-23.98
22/1/24 10:04:01 AM,%RH,-20.023
22/1/24 12:04:01 PM,%RH,58.157
22/1/24 2:04:01 PM,%RH,65.933
22/1/24 4:04:01 PM,%RH,72.301
22/1/24 6:04:01 PM,%RH,63.569
22/1/24 8:04:01 PM,%RH,-6.866
22/1/24 10:04:01 PM,%RH,-20.023
23/1/24 12:04:01 AM,%RH,-21.601
23/1/24 2:04:01 AM,%RH,-22.392
23/1/24 4:04:01 AM,%RH,-21.601
23/1/24 6:04:01 AM,%RH,2.884
23/1/24 8:04:01 AM,%RH,-22.392
23/1/24 10:04:01 AM,%RH,48.216
23/1/24 12:04:01 PM,%RH,65.344
23/1/24 2:04:01 PM,%RH,67.105
23/1/24 4:04:01 PM,%RH,72.871
23/1/24 6:04:01 PM,%RH,62.974
23/1/24 8:04:01 PM,%RH,52.615
23/1/24 10:04:01 PM,%RH,28.473
24/1/24 12:04:01 AM,%RH,26.42
24/1/24 2:04:01 AM,%RH,19.472
24/1/24 4:04:01 AM,%RH,13.081
24/1/24 6:04:01 AM,%RH,23.66
24/1/24 8:04:01 AM,%RH,58.157
24/1/24 10:04:01 AM,%RH,75.132
