1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CC0000007D839141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 22:04:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 22:04:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  13646
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 10:04:01 PM,C,22.046
12/1/24 12:04:01 AM,C,21.546
12/1/24 2:04:01 AM,C,21.546
12/1/24 4:04:01 AM,C,21.046
12/1/24 6:04:01 AM,C,21.046
12/1/24 8:04:01 AM,C,20.545
12/1/24 10:04:01 AM,C,20.045
12/1/24 12:04:01 PM,C,22.546
12/1/24 2:04:01 PM,C,24.547
12/1/24 4:04:01 PM,C,25.047
12/1/24 6:04:01 PM,C,23.047
12/1/24 8:04:01 PM,C,21.546
12/1/24 10:04:01 PM,C,20.545
13/1/24 12:04:01 AM,C,19.545
13/1/24 2:04:01 AM,C,19.044
13/1/24 4:04:01 AM,C,18.043
13/1/24 6:04:01 AM,C,18.043
13/1/24 8:04:01 AM,C,18.043
13/1/24 10:04:01 AM,C,19.545
13/1/24 12:04:01 PM,C,22.546
13/1/24 2:04:01 PM,C,24.547
13/1/24 4:04:01 PM,C,24.047
13/1/24 6:04:01 PM,C,22.546
13/1/24 8:04:01 PM,C,21.046
13/1/24 10:04:01 PM,C,20.045
14/1/24 12:04:01 AM,C,19.545
14/1/24 2:04:01 AM,C,19.545
14/1/24 4:04:01 AM,C,19.044
14/1/24 6:04:01 AM,C,18.544
14/1/24 8:04:01 AM,C,19.044
14/1/24 10:04:01 AM,C,20.045
14/1/24 12:04:01 PM,C,23.047
14/1/24 2:04:01 PM,C,24.047
14/1/24 4:04:01 PM,C,24.047
14/1/24 6:04:01 PM,C,23.547
14/1/24 8:04:01 PM,C,20.545
14/1/24 10:04:01 PM,C,21.046
15/1/24 12:04:01 AM,C,21.046
15/1/24 2:04:01 AM,C,19.545
15/1/24 4:04:01 AM,C,19.044
15/1/24 6:04:01 AM,C,18.043
15/1/24 8:04:01 AM,C,18.043
15/1/24 10:04:01 AM,C,20.045
15/1/24 12:04:01 PM,C,22.046
15/1/24 2:04:01 PM,C,23.547
15/1/24 4:04:01 PM,C,24.547
15/1/24 6:04:01 PM,C,22.046
15/1/24 8:04:01 PM,C,20.545
15/1/24 10:04:01 PM,C,20.045
16/1/24 12:04:01 AM,C,19.044
16/1/24 2:04:01 AM,C,19.044
16/1/24 4:04:01 AM,C,18.043
16/1/24 6:04:01 AM,C,17.543
16/1/24 8:04:01 AM,C,17.543
16/1/24 10:04:01 AM,C,19.044
16/1/24 12:04:01 PM,C,21.546
16/1/24 2:04:01 PM,C,23.047
16/1/24 4:04:01 PM,C,23.547
16/1/24 6:04:01 PM,C,22.046
16/1/24 8:04:01 PM,C,20.545
16/1/24 10:04:01 PM,C,19.545
17/1/24 12:04:01 AM,C,19.545
17/1/24 2:04:01 AM,C,19.545
17/1/24 4:04:01 AM,C,19.545
17/1/24 6:04:01 AM,C,19.044
17/1/24 8:04:01 AM,C,18.544
17/1/24 10:04:01 AM,C,20.045
17/1/24 12:04:01 PM,C,22.046
17/1/24 2:04:01 PM,C,24.047
17/1/24 4:04:01 PM,C,24.047
17/1/24 6:04:01 PM,C,22.046
17/1/24 8:04:01 PM,C,20.545
17/1/24 10:04:01 PM,C,20.545
18/1/24 12:04:01 AM,C,20.045
18/1/24 2:04:01 AM,C,19.545
18/1/24 4:04:01 AM,C,19.044
18/1/24 6:04:01 AM,C,18.544
18/1/24 8:04:01 AM,C,18.544
18/1/24 10:04:01 AM,C,20.545
18/1/24 12:04:01 PM,C,22.046
18/1/24 2:04:01 PM,C,23.047
18/1/24 4:04:01 PM,C,24.047
18/1/24 6:04:01 PM,C,22.546
18/1/24 8:04:01 PM,C,21.046
18/1/24 10:04:01 PM,C,20.545
19/1/24 12:04:01 AM,C,20.045
19/1/24 2:04:01 AM,C,20.045
19/1/24 4:04:01 AM,C,19.545
19/1/24 6:04:01 AM,C,18.544
19/1/24 8:04:01 AM,C,18.544
19/1/24 10:04:01 AM,C,20.045
19/1/24 12:04:01 PM,C,22.046
19/1/24 2:04:01 PM,C,24.047
19/1/24 4:04:01 PM,C,24.047
19/1/24 6:04:01 PM,C,22.546
19/1/24 8:04:01 PM,C,21.546
19/1/24 10:04:01 PM,C,20.545
20/1/24 12:04:01 AM,C,19.044
20/1/24 2:04:01 AM,C,19.044
20/1/24 4:04:01 AM,C,19.044
20/1/24 6:04:01 AM,C,18.043
20/1/24 8:04:01 AM,C,18.043
20/1/24 10:04:01 AM,C,20.045
20/1/24 12:04:01 PM,C,22.546
20/1/24 2:04:01 PM,C,24.547
20/1/24 4:04:01 PM,C,24.547
20/1/24 6:04:01 PM,C,23.047
20/1/24 8:04:01 PM,C,21.546
20/1/24 10:04:01 PM,C,20.045
21/1/24 12:04:01 AM,C,19.044
21/1/24 2:04:01 AM,C,19.545
21/1/24 4:04:01 AM,C,19.044
21/1/24 6:04:01 AM,C,19.044
21/1/24 8:04:01 AM,C,19.044
21/1/24 10:04:01 AM,C,20.045
21/1/24 12:04:01 PM,C,23.047
21/1/24 2:04:01 PM,C,25.047
21/1/24 4:04:01 PM,C,25.547
21/1/24 6:04:01 PM,C,23.547
21/1/24 8:04:01 PM,C,22.046
21/1/24 10:04:01 PM,C,21.546
22/1/24 12:04:01 AM,C,20.545
22/1/24 2:04:01 AM,C,20.545
22/1/24 4:04:01 AM,C,19.545
22/1/24 6:04:01 AM,C,18.544
22/1/24 8:04:01 AM,C,18.544
22/1/24 10:04:01 AM,C,20.545
22/1/24 12:04:01 PM,C,23.047
22/1/24 2:04:01 PM,C,25.047
22/1/24 4:04:01 PM,C,25.047
22/1/24 6:04:01 PM,C,23.547
22/1/24 8:04:01 PM,C,22.046
22/1/24 10:04:01 PM,C,21.046
23/1/24 12:04:01 AM,C,20.045
23/1/24 2:04:01 AM,C,19.545
23/1/24 4:04:01 AM,C,19.044
23/1/24 6:04:01 AM,C,18.544
23/1/24 8:04:01 AM,C,19.044
23/1/24 10:04:01 AM,C,20.545
23/1/24 12:04:01 PM,C,22.546
23/1/24 2:04:01 PM,C,24.047
23/1/24 4:04:01 PM,C,24.547
23/1/24 6:04:01 PM,C,23.047
23/1/24 8:04:01 PM,C,21.046
23/1/24 10:04:01 PM,C,19.545
24/1/24 12:04:01 AM,C,19.044
24/1/24 2:04:01 AM,C,18.043
24/1/24 4:04:01 AM,C,17.543
24/1/24 6:04:01 AM,C,16.542
24/1/24 8:04:01 AM,C,17.042
24/1/24 10:04:01 AM,C,19.545
24/1/24 12:04:01 PM,C,23.047
24/1/24 2:04:01 PM,C,23.547
24/1/24 4:04:01 PM,C,23.547
24/1/24 6:04:01 PM,C,22.046
24/1/24 8:04:01 PM,C,20.545
24/1/24 10:04:01 PM,C,19.044
25/1/24 12:04:01 AM,C,18.043
25/1/24 2:04:01 AM,C,17.543
25/1/24 4:04:01 AM,C,17.543
25/1/24 6:04:01 AM,C,17.543
25/1/24 8:04:01 AM,C,17.042
25/1/24 10:04:01 AM,C,20.045
25/1/24 12:04:01 PM,C,22.046
25/1/24 2:04:01 PM,C,23.547
25/1/24 4:04:01 PM,C,23.547
25/1/24 6:04:01 PM,C,22.046
25/1/24 8:04:01 PM,C,20.045
25/1/24 10:04:01 PM,C,19.044
26/1/24 12:04:01 AM,C,19.044
26/1/24 2:04:01 AM,C,18.043
26/1/24 4:04:01 AM,C,19.044
