1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D20000007D8CF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:42:01 IST 2024
Mission Sample Count:  3237
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:42:01 IST 2024
Total Mission Samples:  3237
Total Device Samples:  15548
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:42:01 PM,%RH,84.787
14/1/24 11:42:01 PM,%RH,83.697
15/1/24 1:42:01 AM,%RH,83.697
15/1/24 3:42:01 AM,%RH,83.149
15/1/24 5:42:01 AM,%RH,83.697
15/1/24 7:42:01 AM,%RH,85.33
15/1/24 9:42:01 AM,%RH,79.83
15/1/24 11:42:01 AM,%RH,77.021
15/1/24 1:42:01 PM,%RH,60.568
15/1/24 3:42:01 PM,%RH,74.173
15/1/24 5:42:01 PM,%RH,82.6
15/1/24 7:42:01 PM,%RH,87.487
15/1/24 9:42:01 PM,%RH,91.724
15/1/24 11:42:01 PM,%RH,93.805
16/1/24 1:42:01 AM,%RH,93.805
16/1/24 3:42:01 AM,%RH,94.321
16/1/24 5:42:01 AM,%RH,84.787
16/1/24 7:42:01 AM,%RH,90.674
16/1/24 9:42:01 AM,%RH,91.2
16/1/24 11:42:01 AM,%RH,74.746
16/1/24 1:42:01 PM,%RH,61.176
16/1/24 3:42:01 PM,%RH,79.83
16/1/24 5:42:01 PM,%RH,89.087
16/1/24 7:42:01 PM,%RH,92.767
16/1/24 9:42:01 PM,%RH,97.386
16/1/24 11:42:01 PM,%RH,97.891
17/1/24 1:42:01 AM,%RH,98.395
17/1/24 3:42:01 AM,%RH,98.897
17/1/24 5:42:01 AM,%RH,100.395
17/1/24 7:42:01 AM,%RH,99.897
17/1/24 9:42:01 AM,%RH,88.555
17/1/24 11:42:01 AM,%RH,77.021
17/1/24 1:42:01 PM,%RH,80.387
17/1/24 3:42:01 PM,%RH,81.497
17/1/24 5:42:01 PM,%RH,83.149
17/1/24 7:42:01 PM,%RH,90.147
17/1/24 9:42:01 PM,%RH,96.879
17/1/24 11:42:01 PM,%RH,98.395
18/1/24 1:42:01 AM,%RH,97.386
18/1/24 3:42:01 AM,%RH,99.897
18/1/24 5:42:01 AM,%RH,98.395
18/1/24 7:42:01 AM,%RH,99.897
18/1/24 9:42:01 AM,%RH,93.805
18/1/24 11:42:01 AM,%RH,74.173
18/1/24 1:42:01 PM,%RH,75.887
18/1/24 3:42:01 PM,%RH,86.95
18/1/24 5:42:01 PM,%RH,89.087
18/1/24 7:42:01 PM,%RH,95.861
18/1/24 9:42:01 PM,%RH,96.879
18/1/24 11:42:01 PM,%RH,98.897
19/1/24 1:42:01 AM,%RH,99.398
19/1/24 3:42:01 AM,%RH,100.891
19/1/24 5:42:01 AM,%RH,101.385
19/1/24 7:42:01 AM,%RH,102.369
19/1/24 9:42:01 AM,%RH,99.398
19/1/24 11:42:01 AM,%RH,77.021
19/1/24 1:42:01 PM,%RH,80.943
19/1/24 3:42:01 PM,%RH,89.618
19/1/24 5:42:01 PM,%RH,92.767
19/1/24 7:42:01 PM,%RH,96.879
19/1/24 9:42:01 PM,%RH,98.395
19/1/24 11:42:01 PM,%RH,98.395
20/1/24 1:42:01 AM,%RH,99.897
20/1/24 3:42:01 AM,%RH,98.395
20/1/24 5:42:01 AM,%RH,98.897
20/1/24 7:42:01 AM,%RH,98.897
20/1/24 9:42:01 AM,%RH,91.724
20/1/24 11:42:01 AM,%RH,79.272
20/1/24 1:42:01 PM,%RH,84.243
20/1/24 3:42:01 PM,%RH,87.487
20/1/24 5:42:01 PM,%RH,90.674
20/1/24 7:42:01 PM,%RH,95.349
20/1/24 9:42:01 PM,%RH,97.891
20/1/24 11:42:01 PM,%RH,98.395
21/1/24 1:42:01 AM,%RH,99.398
21/1/24 3:42:01 AM,%RH,101.385
21/1/24 5:42:01 AM,%RH,100.891
21/1/24 7:42:01 AM,%RH,100.395
21/1/24 9:42:01 AM,%RH,92.767
21/1/24 11:42:01 AM,%RH,77.021
21/1/24 1:42:01 PM,%RH,68.948
21/1/24 3:42:01 PM,%RH,80.387
21/1/24 5:42:01 PM,%RH,83.697
21/1/24 7:42:01 PM,%RH,94.321
21/1/24 9:42:01 PM,%RH,97.891
21/1/24 11:42:01 PM,%RH,96.879
22/1/24 1:42:01 AM,%RH,98.395
22/1/24 3:42:01 AM,%RH,98.395
22/1/24 5:42:01 AM,%RH,100.891
22/1/24 7:42:01 AM,%RH,102.369
22/1/24 9:42:01 AM,%RH,95.349
22/1/24 11:42:01 AM,%RH,73.599
22/1/24 1:42:01 PM,%RH,74.173
22/1/24 3:42:01 PM,%RH,83.697
22/1/24 5:42:01 PM,%RH,85.872
22/1/24 7:42:01 PM,%RH,94.321
22/1/24 9:42:01 PM,%RH,97.386
22/1/24 11:42:01 PM,%RH,95.861
23/1/24 1:42:01 AM,%RH,96.879
23/1/24 3:42:01 AM,%RH,98.395
23/1/24 5:42:01 AM,%RH,100.395
23/1/24 7:42:01 AM,%RH,96.371
23/1/24 9:42:01 AM,%RH,90.674
23/1/24 11:42:01 AM,%RH,73.023
23/1/24 1:42:01 PM,%RH,77.021
23/1/24 3:42:01 PM,%RH,84.243
23/1/24 5:42:01 PM,%RH,91.724
23/1/24 7:42:01 PM,%RH,91.2
23/1/24 9:42:01 PM,%RH,91.724
23/1/24 11:42:01 PM,%RH,93.287
24/1/24 1:42:01 AM,%RH,94.321
24/1/24 3:42:01 AM,%RH,91.2
24/1/24 5:42:01 AM,%RH,92.767
24/1/24 7:42:01 AM,%RH,89.618
24/1/24 9:42:01 AM,%RH,77.586
24/1/24 11:42:01 AM,%RH,64.796
24/1/24 1:42:01 PM,%RH,70.704
24/1/24 3:42:01 PM,%RH,80.387
24/1/24 5:42:01 PM,%RH,82.6
24/1/24 7:42:01 PM,%RH,91.724
24/1/24 9:42:01 PM,%RH,90.674
24/1/24 11:42:01 PM,%RH,89.618
25/1/24 1:42:01 AM,%RH,82.049
25/1/24 3:42:01 AM,%RH,77.586
25/1/24 5:42:01 AM,%RH,85.33
25/1/24 7:42:01 AM,%RH,88.022
25/1/24 9:42:01 AM,%RH,70.704
25/1/24 11:42:01 AM,%RH,74.746
25/1/24 1:42:01 PM,%RH,81.497
25/1/24 3:42:01 PM,%RH,80.387
25/1/24 5:42:01 PM,%RH,85.872
25/1/24 7:42:01 PM,%RH,95.349
25/1/24 9:42:01 PM,%RH,96.879
25/1/24 11:42:01 PM,%RH,97.891
26/1/24 1:42:01 AM,%RH,99.897
26/1/24 3:42:01 AM,%RH,92.767
26/1/24 5:42:01 AM,%RH,94.321
26/1/24 7:42:01 AM,%RH,94.321
26/1/24 9:42:01 AM,%RH,82.049
26/1/24 11:42:01 AM,%RH,60.568
26/1/24 1:42:01 PM,%RH,55.641
26/1/24 3:42:01 PM,%RH,54.394
26/1/24 5:42:01 PM,%RH,59.345
26/1/24 7:42:01 PM,%RH,83.697
26/1/24 9:42:01 PM,%RH,92.246
26/1/24 11:42:01 PM,%RH,92.767
27/1/24 1:42:01 AM,%RH,67.77
27/1/24 3:42:01 AM,%RH,70.704
27/1/24 5:42:01 AM,%RH,84.243
27/1/24 7:42:01 AM,%RH,91.2
27/1/24 9:42:01 AM,%RH,83.149
27/1/24 11:42:01 AM,%RH,62.389
27/1/24 1:42:01 PM,%RH,51.88
27/1/24 3:42:01 PM,%RH,50.614
27/1/24 5:42:01 PM,%RH,56.882
27/1/24 7:42:01 PM,%RH,58.732
27/1/24 9:42:01 PM,%RH,56.882
27/1/24 11:42:01 PM,%RH,66.585
28/1/24 1:42:01 AM,%RH,71.286
28/1/24 3:42:01 AM,%RH,80.943
28/1/24 5:42:01 AM,%RH,88.022
28/1/24 7:42:01 AM,%RH,92.767
28/1/24 9:42:01 AM,%RH,79.272
28/1/24 11:42:01 AM,%RH,60.568
28/1/24 1:42:01 PM,%RH,49.978
28/1/24 3:42:01 PM,%RH,52.511
28/1/24 5:42:01 PM,%RH,58.732
28/1/24 7:42:01 PM,%RH,79.272
28/1/24 9:42:01 PM,%RH,84.243
28/1/24 11:42:01 PM,%RH,91.724
29/1/24 1:42:01 AM,%RH,92.246
29/1/24 3:42:01 AM,%RH,75.887
29/1/24 5:42:01 AM,%RH,80.943
29/1/24 7:42:01 AM,%RH,85.33
29/1/24 9:42:01 AM,%RH,80.943
29/1/24 11:42:01 AM,%RH,71.286
29/1/24 1:42:01 PM,%RH,62.993
29/1/24 3:42:01 PM,%RH,62.389
29/1/24 5:42:01 PM,%RH,79.272
29/1/24 7:42:01 PM,%RH,83.697
29/1/24 9:42:01 PM,%RH,89.087
29/1/24 11:42:01 PM,%RH,92.246
30/1/24 1:42:01 AM,%RH,67.178
30/1/24 3:42:01 AM,%RH,68.36
30/1/24 5:42:01 AM,%RH,79.83
30/1/24 7:42:01 AM,%RH,86.412
30/1/24 9:42:01 AM,%RH,77.586
30/1/24 11:42:01 AM,%RH,61.784
30/1/24 1:42:01 PM,%RH,65.394
30/1/24 3:42:01 PM,%RH,71.286
30/1/24 5:42:01 PM,%RH,70.704
30/1/24 7:42:01 PM,%RH,76.455
30/1/24 9:42:01 PM,%RH,92.246
30/1/24 11:42:01 PM,%RH,88.022
31/1/24 1:42:01 AM,%RH,83.697
31/1/24 3:42:01 AM,%RH,89.618
31/1/24 5:42:01 AM,%RH,91.724
31/1/24 7:42:01 AM,%RH,89.087
31/1/24 9:42:01 AM,%RH,73.599
31/1/24 11:42:01 AM,%RH,62.389
31/1/24 1:42:01 PM,%RH,62.389
31/1/24 3:42:01 PM,%RH,66.585
31/1/24 5:42:01 PM,%RH,72.446
31/1/24 7:42:01 PM,%RH,78.15
31/1/24 9:42:01 PM,%RH,79.83
31/1/24 11:42:01 PM,%RH,93.805
1/2/24 1:42:01 AM,%RH,95.349
1/2/24 3:42:01 AM,%RH,96.879
1/2/24 5:42:01 AM,%RH,91.724
1/2/24 7:42:01 AM,%RH,84.787
1/2/24 9:42:01 AM,%RH,75.317
1/2/24 11:42:01 AM,%RH,66.585
1/2/24 1:42:01 PM,%RH,70.704
1/2/24 3:42:01 PM,%RH,75.317
1/2/24 5:42:01 PM,%RH,82.049
1/2/24 7:42:01 PM,%RH,89.087
1/2/24 9:42:01 PM,%RH,94.321
1/2/24 11:42:01 PM,%RH,95.349
2/2/24 1:42:01 AM,%RH,96.879
2/2/24 3:42:01 AM,%RH,94.836
2/2/24 5:42:01 AM,%RH,98.897
2/2/24 7:42:01 AM,%RH,95.861
2/2/24 9:42:01 AM,%RH,79.83
2/2/24 11:42:01 AM,%RH,56.262
2/2/24 1:42:01 PM,%RH,61.784
2/2/24 3:42:01 PM,%RH,71.867
2/2/24 5:42:01 PM,%RH,77.586
2/2/24 7:42:01 PM,%RH,89.618
2/2/24 9:42:01 PM,%RH,95.349
2/2/24 11:42:01 PM,%RH,95.861
3/2/24 1:42:01 AM,%RH,94.321
3/2/24 3:42:01 AM,%RH,86.95
3/2/24 5:42:01 AM,%RH,88.555
3/2/24 7:42:01 AM,%RH,87.487
3/2/24 9:42:01 AM,%RH,82.6
3/2/24 11:42:01 AM,%RH,71.867
3/2/24 1:42:01 PM,%RH,64.796
3/2/24 3:42:01 PM,%RH,79.272
3/2/24 5:42:01 PM,%RH,83.697
3/2/24 7:42:01 PM,%RH,92.246
3/2/24 9:42:01 PM,%RH,93.287
3/2/24 11:42:01 PM,%RH,93.287
4/2/24 1:42:01 AM,%RH,96.371
4/2/24 3:42:01 AM,%RH,90.147
4/2/24 5:42:01 AM,%RH,91.724
4/2/24 7:42:01 AM,%RH,91.2
4/2/24 9:42:01 AM,%RH,78.711
4/2/24 11:42:01 AM,%RH,65.99
4/2/24 1:42:01 PM,%RH,55.018
4/2/24 3:42:01 PM,%RH,61.176
4/2/24 5:42:01 PM,%RH,77.586
4/2/24 7:42:01 PM,%RH,92.246
4/2/24 9:42:01 PM,%RH,95.861
4/2/24 11:42:01 PM,%RH,98.395
5/2/24 1:42:01 AM,%RH,95.861
5/2/24 3:42:01 AM,%RH,95.861
5/2/24 5:42:01 AM,%RH,78.711
5/2/24 7:42:01 AM,%RH,81.497
5/2/24 9:42:01 AM,%RH,75.317
5/2/24 11:42:01 AM,%RH,55.641
5/2/24 1:42:01 PM,%RH,46.778
5/2/24 3:42:01 PM,%RH,37.607
5/2/24 5:42:01 PM,%RH,57.5
5/2/24 7:42:01 PM,%RH,77.021
5/2/24 9:42:01 PM,%RH,93.805
5/2/24 11:42:01 PM,%RH,95.861
6/2/24 1:42:01 AM,%RH,97.386
6/2/24 3:42:01 AM,%RH,96.371
6/2/24 5:42:01 AM,%RH,83.149
6/2/24 7:42:01 AM,%RH,84.243
6/2/24 9:42:01 AM,%RH,75.317
6/2/24 11:42:01 AM,%RH,48.703
6/2/24 1:42:01 PM,%RH,33.583
6/2/24 3:42:01 PM,%RH,30.869
6/2/24 5:42:01 PM,%RH,40.259
6/2/24 7:42:01 PM,%RH,71.286
6/2/24 9:42:01 PM,%RH,89.087
6/2/24 11:42:01 PM,%RH,90.147
7/2/24 1:42:01 AM,%RH,75.317
7/2/24 3:42:01 AM,%RH,62.993
7/2/24 5:42:01 AM,%RH,70.704
7/2/24 7:42:01 AM,%RH,75.317
7/2/24 9:42:01 AM,%RH,64.796
7/2/24 11:42:01 AM,%RH,37.607
7/2/24 1:42:01 PM,%RH,30.869
7/2/24 3:42:01 PM,%RH,30.187
7/2/24 5:42:01 PM,%RH,60.568
7/2/24 7:42:01 PM,%RH,76.455
7/2/24 9:42:01 PM,%RH,93.805
7/2/24 11:42:01 PM,%RH,85.33
8/2/24 1:42:01 AM,%RH,82.049
8/2/24 3:42:01 AM,%RH,73.023
8/2/24 5:42:01 AM,%RH,66.585
8/2/24 7:42:01 AM,%RH,62.389
8/2/24 9:42:01 AM,%RH,52.511
8/2/24 11:42:01 AM,%RH,41.575
8/2/24 1:42:01 PM,%RH,38.936
8/2/24 3:42:01 PM,%RH,65.394
8/2/24 5:42:01 PM,%RH,71.867
8/2/24 7:42:01 PM,%RH,87.487
8/2/24 9:42:01 PM,%RH,89.618
8/2/24 11:42:01 PM,%RH,91.2
9/2/24 1:42:01 AM,%RH,80.387
9/2/24 3:42:01 AM,%RH,84.787
9/2/24 5:42:01 AM,%RH,83.697
9/2/24 7:42:01 AM,%RH,77.021
9/2/24 9:42:01 AM,%RH,69.535
9/2/24 11:42:01 AM,%RH,46.133
9/2/24 1:42:01 PM,%RH,42.231
9/2/24 3:42:01 PM,%RH,65.394
9/2/24 5:42:01 PM,%RH,78.15
9/2/24 7:42:01 PM,%RH,85.872
9/2/24 9:42:01 PM,%RH,94.321
9/2/24 11:42:01 PM,%RH,95.861
10/2/24 1:42:01 AM,%RH,88.555
10/2/24 3:42:01 AM,%RH,89.618
10/2/24 5:42:01 AM,%RH,85.872
10/2/24 7:42:01 AM,%RH,84.787
10/2/24 9:42:01 AM,%RH,76.455
10/2/24 11:42:01 AM,%RH,60.568
10/2/24 1:42:01 PM,%RH,42.231
10/2/24 3:42:01 PM,%RH,36.272
10/2/24 5:42:01 PM,%RH,72.446
10/2/24 7:42:01 PM,%RH,91.2
10/2/24 9:42:01 PM,%RH,93.287
10/2/24 11:42:01 PM,%RH,97.386
11/2/24 1:42:01 AM,%RH,98.395
11/2/24 3:42:01 AM,%RH,97.891
11/2/24 5:42:01 AM,%RH,94.836
11/2/24 7:42:01 AM,%RH,93.287
11/2/24 9:42:01 AM,%RH,85.872
11/2/24 11:42:01 AM,%RH,61.784
11/2/24 1:42:01 PM,%RH,42.231
11/2/24 3:42:01 PM,%RH,30.869
11/2/24 5:42:01 PM,%RH,30.869
11/2/24 7:42:01 PM,%RH,64.197
11/2/24 9:42:01 PM,%RH,80.943
11/2/24 11:42:01 PM,%RH,79.272
12/2/24 1:42:01 AM,%RH,72.446
12/2/24 3:42:01 AM,%RH,77.586
12/2/24 5:42:01 AM,%RH,81.497
12/2/24 7:42:01 AM,%RH,86.412
12/2/24 9:42:01 AM,%RH,60.568
12/2/24 11:42:01 AM,%RH,30.869
12/2/24 1:42:01 PM,%RH,26.059
12/2/24 3:42:01 PM,%RH,21.172
12/2/24 5:42:01 PM,%RH,26.751
12/2/24 7:42:01 PM,%RH,71.286
12/2/24 9:42:01 PM,%RH,86.412
12/2/24 11:42:01 PM,%RH,91.2
13/2/24 1:42:01 AM,%RH,88.022
13/2/24 3:42:01 AM,%RH,80.387
13/2/24 5:42:01 AM,%RH,77.586
13/2/24 7:42:01 AM,%RH,82.049
13/2/24 9:42:01 AM,%RH,75.317
13/2/24 11:42:01 AM,%RH,47.421
13/2/24 1:42:01 PM,%RH,34.258
13/2/24 3:42:01 PM,%RH,30.869
13/2/24 5:42:01 PM,%RH,59.957
13/2/24 7:42:01 PM,%RH,74.173
13/2/24 9:42:01 PM,%RH,88.022
13/2/24 11:42:01 PM,%RH,92.246
14/2/24 1:42:01 AM,%RH,91.724
14/2/24 3:42:01 AM,%RH,82.6
14/2/24 5:42:01 AM,%RH,80.387
14/2/24 7:42:01 AM,%RH,85.33
14/2/24 9:42:01 AM,%RH,77.586
14/2/24 11:42:01 AM,%RH,51.88
14/2/24 1:42:01 PM,%RH,38.273
14/2/24 3:42:01 PM,%RH,32.907
14/2/24 5:42:01 PM,%RH,38.936
