1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D20000007DABB341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:52:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:52:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  12992
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:52:01 PM,%RH,76.456
11/1/24 11:52:01 PM,%RH,77.014
12/1/24 1:52:01 AM,%RH,77.014
12/1/24 3:52:01 AM,%RH,78.126
12/1/24 5:52:01 AM,%RH,77.571
12/1/24 7:52:01 AM,%RH,78.126
12/1/24 9:52:01 AM,%RH,72.506
12/1/24 11:52:01 AM,%RH,71.936
12/1/24 1:52:01 PM,%RH,69.062
12/1/24 3:52:01 PM,%RH,70.216
12/1/24 5:52:01 PM,%RH,75.896
12/1/24 7:52:01 PM,%RH,80.333
12/1/24 9:52:01 PM,%RH,82.515
12/1/24 11:52:01 PM,%RH,86.278
13/1/24 1:52:01 AM,%RH,85.745
13/1/24 3:52:01 AM,%RH,90.488
13/1/24 5:52:01 AM,%RH,93.583
13/1/24 7:52:01 AM,%RH,95.111
13/1/24 9:52:01 AM,%RH,90.488
13/1/24 11:52:01 AM,%RH,73.075
13/1/24 1:52:01 PM,%RH,72.506
13/1/24 3:52:01 PM,%RH,71.936
13/1/24 5:52:01 PM,%RH,85.745
13/1/24 7:52:01 PM,%RH,93.583
13/1/24 9:52:01 PM,%RH,97.127
13/1/24 11:52:01 PM,%RH,96.625
14/1/24 1:52:01 AM,%RH,93.071
14/1/24 3:52:01 AM,%RH,89.967
14/1/24 5:52:01 AM,%RH,91.008
14/1/24 7:52:01 AM,%RH,94.094
14/1/24 9:52:01 AM,%RH,89.967
14/1/24 11:52:01 AM,%RH,75.896
14/1/24 1:52:01 PM,%RH,69.64
14/1/24 3:52:01 PM,%RH,68.483
14/1/24 5:52:01 PM,%RH,85.21
14/1/24 7:52:01 PM,%RH,89.967
14/1/24 9:52:01 PM,%RH,76.456
14/1/24 11:52:01 PM,%RH,73.642
15/1/24 1:52:01 AM,%RH,75.335
15/1/24 3:52:01 AM,%RH,85.745
15/1/24 5:52:01 AM,%RH,89.444
15/1/24 7:52:01 AM,%RH,92.557
15/1/24 9:52:01 AM,%RH,90.488
15/1/24 11:52:01 AM,%RH,80.333
15/1/24 1:52:01 PM,%RH,68.483
15/1/24 3:52:01 PM,%RH,78.126
15/1/24 5:52:01 PM,%RH,85.21
15/1/24 7:52:01 PM,%RH,89.967
15/1/24 9:52:01 PM,%RH,94.603
15/1/24 11:52:01 PM,%RH,96.122
16/1/24 1:52:01 AM,%RH,96.625
16/1/24 3:52:01 AM,%RH,96.122
16/1/24 5:52:01 AM,%RH,92.557
16/1/24 7:52:01 AM,%RH,94.094
16/1/24 9:52:01 AM,%RH,93.071
16/1/24 11:52:01 AM,%RH,81.972
16/1/24 1:52:01 PM,%RH,74.208
16/1/24 3:52:01 PM,%RH,83.057
16/1/24 5:52:01 PM,%RH,89.967
16/1/24 7:52:01 PM,%RH,94.094
16/1/24 9:52:01 PM,%RH,96.122
16/1/24 11:52:01 PM,%RH,98.623
17/1/24 1:52:01 AM,%RH,99.119
17/1/24 3:52:01 AM,%RH,99.119
17/1/24 5:52:01 AM,%RH,99.119
17/1/24 7:52:01 AM,%RH,100.597
17/1/24 9:52:01 AM,%RH,95.617
17/1/24 11:52:01 AM,%RH,87.339
17/1/24 1:52:01 PM,%RH,87.339
17/1/24 3:52:01 PM,%RH,82.515
17/1/24 5:52:01 PM,%RH,87.339
17/1/24 7:52:01 PM,%RH,92.042
17/1/24 9:52:01 PM,%RH,95.617
17/1/24 11:52:01 PM,%RH,98.125
18/1/24 1:52:01 AM,%RH,98.623
18/1/24 3:52:01 AM,%RH,99.613
18/1/24 5:52:01 AM,%RH,98.623
18/1/24 7:52:01 AM,%RH,99.119
18/1/24 9:52:01 AM,%RH,96.625
18/1/24 11:52:01 AM,%RH,86.809
18/1/24 1:52:01 PM,%RH,86.809
18/1/24 3:52:01 PM,%RH,84.137
18/1/24 5:52:01 PM,%RH,90.488
18/1/24 7:52:01 PM,%RH,95.111
18/1/24 9:52:01 PM,%RH,98.125
18/1/24 11:52:01 PM,%RH,97.627
19/1/24 1:52:01 AM,%RH,99.119
19/1/24 3:52:01 AM,%RH,100.106
19/1/24 5:52:01 AM,%RH,100.106
19/1/24 7:52:01 AM,%RH,100.597
19/1/24 9:52:01 AM,%RH,99.613
19/1/24 11:52:01 AM,%RH,90.488
19/1/24 1:52:01 PM,%RH,88.92
19/1/24 3:52:01 PM,%RH,87.868
19/1/24 5:52:01 PM,%RH,92.042
19/1/24 7:52:01 PM,%RH,96.122
19/1/24 9:52:01 PM,%RH,97.627
19/1/24 11:52:01 PM,%RH,98.623
20/1/24 1:52:01 AM,%RH,98.623
20/1/24 3:52:01 AM,%RH,95.111
20/1/24 5:52:01 AM,%RH,97.127
20/1/24 7:52:01 AM,%RH,97.127
20/1/24 9:52:01 AM,%RH,95.111
20/1/24 11:52:01 AM,%RH,88.92
20/1/24 1:52:01 PM,%RH,81.972
20/1/24 3:52:01 PM,%RH,88.395
20/1/24 5:52:01 PM,%RH,92.557
20/1/24 7:52:01 PM,%RH,97.127
20/1/24 9:52:01 PM,%RH,97.627
20/1/24 11:52:01 PM,%RH,97.627
21/1/24 1:52:01 AM,%RH,99.119
21/1/24 3:52:01 AM,%RH,100.106
21/1/24 5:52:01 AM,%RH,99.119
21/1/24 7:52:01 AM,%RH,100.597
21/1/24 9:52:01 AM,%RH,98.125
21/1/24 11:52:01 AM,%RH,89.967
21/1/24 1:52:01 PM,%RH,79.783
21/1/24 3:52:01 PM,%RH,81.427
21/1/24 5:52:01 PM,%RH,89.444
21/1/24 7:52:01 PM,%RH,93.071
21/1/24 9:52:01 PM,%RH,97.627
21/1/24 11:52:01 PM,%RH,98.623
22/1/24 1:52:01 AM,%RH,99.119
22/1/24 3:52:01 AM,%RH,97.627
22/1/24 5:52:01 AM,%RH,99.613
22/1/24 7:52:01 AM,%RH,99.613
22/1/24 9:52:01 AM,%RH,99.119
22/1/24 11:52:01 AM,%RH,86.809
22/1/24 1:52:01 PM,%RH,86.278
22/1/24 3:52:01 PM,%RH,82.515
22/1/24 5:52:01 PM,%RH,87.339
22/1/24 7:52:01 PM,%RH,94.603
22/1/24 9:52:01 PM,%RH,97.127
22/1/24 11:52:01 PM,%RH,98.125
23/1/24 1:52:01 AM,%RH,97.127
23/1/24 3:52:01 AM,%RH,98.623
23/1/24 5:52:01 AM,%RH,101.575
23/1/24 7:52:01 AM,%RH,95.617
23/1/24 9:52:01 AM,%RH,89.444
23/1/24 11:52:01 AM,%RH,87.868
23/1/24 1:52:01 PM,%RH,84.137
23/1/24 3:52:01 PM,%RH,84.674
23/1/24 5:52:01 PM,%RH,88.92
23/1/24 7:52:01 PM,%RH,91.008
23/1/24 9:52:01 PM,%RH,96.122
23/1/24 11:52:01 PM,%RH,97.627
24/1/24 1:52:01 AM,%RH,99.613
24/1/24 3:52:01 AM,%RH,98.623
24/1/24 5:52:01 AM,%RH,98.125
24/1/24 7:52:01 AM,%RH,100.106
24/1/24 9:52:01 AM,%RH,88.92
24/1/24 11:52:01 AM,%RH,83.598
24/1/24 1:52:01 PM,%RH,76.456
24/1/24 3:52:01 PM,%RH,75.896
24/1/24 5:52:01 PM,%RH,81.972
24/1/24 7:52:01 PM,%RH,89.967
