1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DD0000007DA7E341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:46:01 IST 2024
Mission Sample Count:  3943
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:46:01 IST 2024
Total Mission Samples:  3943
Total Device Samples:  13480
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:46:01 PM,C,22.593
14/1/24 11:46:01 PM,C,22.093
15/1/24 1:46:01 AM,C,21.593
15/1/24 3:46:01 AM,C,20.592
15/1/24 5:46:01 AM,C,20.592
15/1/24 7:46:01 AM,C,19.591
15/1/24 9:46:01 AM,C,23.594
15/1/24 11:46:01 AM,C,24.594
15/1/24 1:46:01 PM,C,25.094
15/1/24 3:46:01 PM,C,24.094
15/1/24 5:46:01 PM,C,21.593
15/1/24 7:46:01 PM,C,20.092
15/1/24 9:46:01 PM,C,19.591
15/1/24 11:46:01 PM,C,19.091
16/1/24 1:46:01 AM,C,19.091
16/1/24 3:46:01 AM,C,17.589
16/1/24 5:46:01 AM,C,17.089
16/1/24 7:46:01 AM,C,17.089
16/1/24 9:46:01 AM,C,20.092
16/1/24 11:46:01 AM,C,24.094
16/1/24 1:46:01 PM,C,25.094
16/1/24 3:46:01 PM,C,24.094
16/1/24 5:46:01 PM,C,21.593
16/1/24 7:46:01 PM,C,19.591
16/1/24 9:46:01 PM,C,19.591
16/1/24 11:46:01 PM,C,19.591
17/1/24 1:46:01 AM,C,18.591
17/1/24 3:46:01 AM,C,18.591
17/1/24 5:46:01 AM,C,18.591
17/1/24 7:46:01 AM,C,18.591
17/1/24 9:46:01 AM,C,22.093
17/1/24 11:46:01 AM,C,22.093
17/1/24 1:46:01 PM,C,23.594
17/1/24 3:46:01 PM,C,24.094
17/1/24 5:46:01 PM,C,21.593
17/1/24 7:46:01 PM,C,20.092
17/1/24 9:46:01 PM,C,19.591
17/1/24 11:46:01 PM,C,19.591
18/1/24 1:46:01 AM,C,18.591
18/1/24 3:46:01 AM,C,18.591
18/1/24 5:46:01 AM,C,17.589
18/1/24 7:46:01 AM,C,18.09
18/1/24 9:46:01 AM,C,21.593
18/1/24 11:46:01 AM,C,24.094
18/1/24 1:46:01 PM,C,23.594
18/1/24 3:46:01 PM,C,23.094
18/1/24 5:46:01 PM,C,21.593
18/1/24 7:46:01 PM,C,20.592
18/1/24 9:46:01 PM,C,20.092
18/1/24 11:46:01 PM,C,19.591
19/1/24 1:46:01 AM,C,19.591
19/1/24 3:46:01 AM,C,19.091
19/1/24 5:46:01 AM,C,19.091
19/1/24 7:46:01 AM,C,18.591
19/1/24 9:46:01 AM,C,21.093
19/1/24 11:46:01 AM,C,23.594
19/1/24 1:46:01 PM,C,23.594
19/1/24 3:46:01 PM,C,22.593
19/1/24 5:46:01 PM,C,22.093
19/1/24 7:46:01 PM,C,20.092
19/1/24 9:46:01 PM,C,20.092
19/1/24 11:46:01 PM,C,19.591
20/1/24 1:46:01 AM,C,18.09
20/1/24 3:46:01 AM,C,18.591
20/1/24 5:46:01 AM,C,18.09
20/1/24 7:46:01 AM,C,18.09
20/1/24 9:46:01 AM,C,21.593
20/1/24 11:46:01 AM,C,24.594
20/1/24 1:46:01 PM,C,23.094
20/1/24 3:46:01 PM,C,23.594
20/1/24 5:46:01 PM,C,23.094
20/1/24 7:46:01 PM,C,21.093
20/1/24 9:46:01 PM,C,20.592
20/1/24 11:46:01 PM,C,19.591
21/1/24 1:46:01 AM,C,19.591
21/1/24 3:46:01 AM,C,19.591
21/1/24 5:46:01 AM,C,18.591
21/1/24 7:46:01 AM,C,18.591
21/1/24 9:46:01 AM,C,21.593
21/1/24 11:46:01 AM,C,25.594
21/1/24 1:46:01 PM,C,24.594
21/1/24 3:46:01 PM,C,25.094
21/1/24 5:46:01 PM,C,22.593
21/1/24 7:46:01 PM,C,21.093
21/1/24 9:46:01 PM,C,20.592
21/1/24 11:46:01 PM,C,20.092
22/1/24 1:46:01 AM,C,20.092
22/1/24 3:46:01 AM,C,19.591
22/1/24 5:46:01 AM,C,18.591
22/1/24 7:46:01 AM,C,18.591
22/1/24 9:46:01 AM,C,21.593
22/1/24 11:46:01 AM,C,25.594
22/1/24 1:46:01 PM,C,26.094
22/1/24 3:46:01 PM,C,24.094
22/1/24 5:46:01 PM,C,22.593
22/1/24 7:46:01 PM,C,21.093
22/1/24 9:46:01 PM,C,20.592
22/1/24 11:46:01 PM,C,20.592
23/1/24 1:46:01 AM,C,19.591
23/1/24 3:46:01 AM,C,19.091
