1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E30000007D8DDA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:38:01 IST 2024
Mission Sample Count:  2720
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:38:01 IST 2024
Total Mission Samples:  2720
Total Device Samples:  11699
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:38:01 PM,C,22.615
9/1/24 11:38:01 PM,C,22.114
10/1/24 1:38:01 AM,C,21.614
10/1/24 3:38:01 AM,C,21.114
10/1/24 5:38:01 AM,C,21.114
10/1/24 7:38:01 AM,C,20.613
10/1/24 9:38:01 AM,C,21.114
10/1/24 11:38:01 AM,C,22.114
10/1/24 1:38:01 PM,C,22.615
10/1/24 3:38:01 PM,C,22.615
10/1/24 5:38:01 PM,C,22.615
10/1/24 7:38:01 PM,C,22.615
10/1/24 9:38:01 PM,C,22.615
10/1/24 11:38:01 PM,C,22.114
11/1/24 1:38:01 AM,C,21.614
11/1/24 3:38:01 AM,C,21.114
11/1/24 5:38:01 AM,C,21.114
11/1/24 7:38:01 AM,C,21.114
11/1/24 9:38:01 AM,C,20.613
11/1/24 11:38:01 AM,C,21.114
11/1/24 1:38:01 PM,C,23.615
11/1/24 3:38:01 PM,C,23.115
11/1/24 5:38:01 PM,C,22.114
11/1/24 7:38:01 PM,C,19.613
11/1/24 9:38:01 PM,C,18.111
11/1/24 11:38:01 PM,C,18.612
12/1/24 1:38:01 AM,C,19.613
12/1/24 3:38:01 AM,C,19.112
12/1/24 5:38:01 AM,C,18.111
12/1/24 7:38:01 AM,C,17.611
12/1/24 9:38:01 AM,C,19.613
12/1/24 11:38:01 AM,C,22.114
12/1/24 1:38:01 PM,C,24.115
12/1/24 3:38:01 PM,C,23.615
12/1/24 5:38:01 PM,C,22.114
12/1/24 7:38:01 PM,C,19.112
12/1/24 9:38:01 PM,C,18.111
12/1/24 11:38:01 PM,C,17.611
13/1/24 1:38:01 AM,C,19.112
13/1/24 3:38:01 AM,C,18.612
13/1/24 5:38:01 AM,C,18.111
13/1/24 7:38:01 AM,C,18.111
13/1/24 9:38:01 AM,C,19.613
13/1/24 11:38:01 AM,C,22.114
13/1/24 1:38:01 PM,C,23.615
13/1/24 3:38:01 PM,C,23.115
13/1/24 5:38:01 PM,C,22.615
13/1/24 7:38:01 PM,C,19.613
13/1/24 9:38:01 PM,C,19.112
13/1/24 11:38:01 PM,C,18.111
14/1/24 1:38:01 AM,C,18.111
14/1/24 3:38:01 AM,C,18.111
14/1/24 5:38:01 AM,C,18.111
14/1/24 7:38:01 AM,C,18.612
14/1/24 9:38:01 AM,C,20.113
14/1/24 11:38:01 AM,C,22.615
14/1/24 1:38:01 PM,C,23.615
14/1/24 3:38:01 PM,C,23.615
14/1/24 5:38:01 PM,C,23.115
14/1/24 7:38:01 PM,C,20.113
14/1/24 9:38:01 PM,C,18.612
14/1/24 11:38:01 PM,C,19.112
15/1/24 1:38:01 AM,C,19.112
15/1/24 3:38:01 AM,C,17.11
15/1/24 5:38:01 AM,C,18.111
15/1/24 7:38:01 AM,C,17.611
15/1/24 9:38:01 AM,C,19.112
15/1/24 11:38:01 AM,C,21.614
15/1/24 1:38:01 PM,C,23.115
15/1/24 3:38:01 PM,C,23.615
15/1/24 5:38:01 PM,C,22.114
15/1/24 7:38:01 PM,C,19.112
15/1/24 9:38:01 PM,C,18.612
15/1/24 11:38:01 PM,C,17.611
16/1/24 1:38:01 AM,C,17.11
16/1/24 3:38:01 AM,C,16.61
16/1/24 5:38:01 AM,C,17.11
16/1/24 7:38:01 AM,C,16.61
16/1/24 9:38:01 AM,C,18.612
16/1/24 11:38:01 AM,C,21.114
16/1/24 1:38:01 PM,C,22.615
16/1/24 3:38:01 PM,C,23.115
16/1/24 5:38:01 PM,C,22.114
16/1/24 7:38:01 PM,C,19.613
16/1/24 9:38:01 PM,C,19.112
16/1/24 11:38:01 PM,C,18.612
17/1/24 1:38:01 AM,C,18.612
17/1/24 3:38:01 AM,C,18.111
17/1/24 5:38:01 AM,C,18.111
17/1/24 7:38:01 AM,C,18.111
17/1/24 9:38:01 AM,C,19.613
17/1/24 11:38:01 AM,C,21.614
17/1/24 1:38:01 PM,C,22.615
17/1/24 3:38:01 PM,C,22.615
17/1/24 5:38:01 PM,C,21.614
17/1/24 7:38:01 PM,C,18.612
17/1/24 9:38:01 PM,C,19.613
17/1/24 11:38:01 PM,C,19.613
18/1/24 1:38:01 AM,C,18.612
18/1/24 3:38:01 AM,C,18.111
18/1/24 5:38:01 AM,C,17.611
18/1/24 7:38:01 AM,C,17.611
18/1/24 9:38:01 AM,C,19.613
18/1/24 11:38:01 AM,C,21.614
18/1/24 1:38:01 PM,C,22.615
18/1/24 3:38:01 PM,C,23.615
18/1/24 5:38:01 PM,C,22.114
18/1/24 7:38:01 PM,C,20.113
18/1/24 9:38:01 PM,C,19.613
18/1/24 11:38:01 PM,C,19.112
19/1/24 1:38:01 AM,C,19.112
19/1/24 3:38:01 AM,C,19.112
19/1/24 5:38:01 AM,C,18.612
19/1/24 7:38:01 AM,C,17.611
19/1/24 9:38:01 AM,C,19.613
19/1/24 11:38:01 AM,C,21.614
19/1/24 1:38:01 PM,C,22.114
19/1/24 3:38:01 PM,C,22.114
19/1/24 5:38:01 PM,C,22.114
19/1/24 7:38:01 PM,C,20.113
19/1/24 9:38:01 PM,C,20.113
19/1/24 11:38:01 PM,C,18.612
20/1/24 1:38:01 AM,C,17.611
20/1/24 3:38:01 AM,C,18.111
