1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F10000007D83CF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:56:01 IST 2024
Mission Sample Count:  2696
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:56:01 IST 2024
Total Mission Samples:  2696
Total Device Samples:  11433
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:56:01 PM,C,22.033
11/1/24 11:56:01 PM,C,21.032
12/1/24 1:56:01 AM,C,21.032
12/1/24 3:56:01 AM,C,20.532
12/1/24 5:56:01 AM,C,20.532
12/1/24 7:56:01 AM,C,20.532
12/1/24 9:56:01 AM,C,21.532
12/1/24 11:56:01 AM,C,21.532
12/1/24 1:56:01 PM,C,23.533
12/1/24 3:56:01 PM,C,24.033
12/1/24 5:56:01 PM,C,22.533
12/1/24 7:56:01 PM,C,21.032
12/1/24 9:56:01 PM,C,20.032
12/1/24 11:56:01 PM,C,18.53
13/1/24 1:56:01 AM,C,18.03
13/1/24 3:56:01 AM,C,17.53
13/1/24 5:56:01 AM,C,17.029
13/1/24 7:56:01 AM,C,17.029
13/1/24 9:56:01 AM,C,19.031
13/1/24 11:56:01 AM,C,22.033
13/1/24 1:56:01 PM,C,23.533
13/1/24 3:56:01 PM,C,23.533
13/1/24 5:56:01 PM,C,22.033
13/1/24 7:56:01 PM,C,20.032
13/1/24 9:56:01 PM,C,19.531
13/1/24 11:56:01 PM,C,19.031
14/1/24 1:56:01 AM,C,19.031
14/1/24 3:56:01 AM,C,18.53
14/1/24 5:56:01 AM,C,18.03
14/1/24 7:56:01 AM,C,18.03
14/1/24 9:56:01 AM,C,19.531
14/1/24 11:56:01 AM,C,23.033
14/1/24 1:56:01 PM,C,24.533
14/1/24 3:56:01 PM,C,24.033
14/1/24 5:56:01 PM,C,23.033
14/1/24 7:56:01 PM,C,19.531
14/1/24 9:56:01 PM,C,21.532
14/1/24 11:56:01 PM,C,21.032
15/1/24 1:56:01 AM,C,19.531
15/1/24 3:56:01 AM,C,18.53
15/1/24 5:56:01 AM,C,17.53
15/1/24 7:56:01 AM,C,17.53
15/1/24 9:56:01 AM,C,19.531
15/1/24 11:56:01 AM,C,22.033
15/1/24 1:56:01 PM,C,23.533
15/1/24 3:56:01 PM,C,23.033
15/1/24 5:56:01 PM,C,21.532
15/1/24 7:56:01 PM,C,20.032
15/1/24 9:56:01 PM,C,19.031
15/1/24 11:56:01 PM,C,18.03
16/1/24 1:56:01 AM,C,18.53
16/1/24 3:56:01 AM,C,18.03
16/1/24 5:56:01 AM,C,17.53
16/1/24 7:56:01 AM,C,17.029
16/1/24 9:56:01 AM,C,18.53
16/1/24 11:56:01 AM,C,21.532
16/1/24 1:56:01 PM,C,23.033
16/1/24 3:56:01 PM,C,22.533
16/1/24 5:56:01 PM,C,21.032
16/1/24 7:56:01 PM,C,19.531
16/1/24 9:56:01 PM,C,19.031
16/1/24 11:56:01 PM,C,19.031
17/1/24 1:56:01 AM,C,19.031
17/1/24 3:56:01 AM,C,19.031
17/1/24 5:56:01 AM,C,18.53
17/1/24 7:56:01 AM,C,18.03
17/1/24 9:56:01 AM,C,20.032
17/1/24 11:56:01 AM,C,21.532
17/1/24 1:56:01 PM,C,23.033
17/1/24 3:56:01 PM,C,22.533
17/1/24 5:56:01 PM,C,21.532
17/1/24 7:56:01 PM,C,20.032
17/1/24 9:56:01 PM,C,20.032
17/1/24 11:56:01 PM,C,19.531
18/1/24 1:56:01 AM,C,19.031
18/1/24 3:56:01 AM,C,18.03
18/1/24 5:56:01 AM,C,17.53
18/1/24 7:56:01 AM,C,18.03
18/1/24 9:56:01 AM,C,19.531
18/1/24 11:56:01 AM,C,22.033
18/1/24 1:56:01 PM,C,22.033
18/1/24 3:56:01 PM,C,22.533
18/1/24 5:56:01 PM,C,21.532
18/1/24 7:56:01 PM,C,20.532
18/1/24 9:56:01 PM,C,19.531
18/1/24 11:56:01 PM,C,19.031
19/1/24 1:56:01 AM,C,19.531
19/1/24 3:56:01 AM,C,19.031
19/1/24 5:56:01 AM,C,18.03
19/1/24 7:56:01 AM,C,17.53
19/1/24 9:56:01 AM,C,19.531
19/1/24 11:56:01 AM,C,21.532
19/1/24 1:56:01 PM,C,23.033
19/1/24 3:56:01 PM,C,23.033
19/1/24 5:56:01 PM,C,21.532
19/1/24 7:56:01 PM,C,20.532
19/1/24 9:56:01 PM,C,20.032
19/1/24 11:56:01 PM,C,18.53
20/1/24 1:56:01 AM,C,18.53
20/1/24 3:56:01 AM,C,18.53
20/1/24 5:56:01 AM,C,18.03
20/1/24 7:56:01 AM,C,18.03
20/1/24 9:56:01 AM,C,19.531
20/1/24 11:56:01 AM,C,22.033
20/1/24 1:56:01 PM,C,23.533
20/1/24 3:56:01 PM,C,23.033
20/1/24 5:56:01 PM,C,22.033
20/1/24 7:56:01 PM,C,20.532
20/1/24 9:56:01 PM,C,19.531
20/1/24 11:56:01 PM,C,19.031
21/1/24 1:56:01 AM,C,19.031
21/1/24 3:56:01 AM,C,18.53
21/1/24 5:56:01 AM,C,18.53
21/1/24 7:56:01 AM,C,18.53
21/1/24 9:56:01 AM,C,19.531
21/1/24 11:56:01 AM,C,22.533
21/1/24 1:56:01 PM,C,24.033
21/1/24 3:56:01 PM,C,24.033
21/1/24 5:56:01 PM,C,22.533
21/1/24 7:56:01 PM,C,21.032
21/1/24 9:56:01 PM,C,20.532
21/1/24 11:56:01 PM,C,20.032
22/1/24 1:56:01 AM,C,20.032
22/1/24 3:56:01 AM,C,19.031
22/1/24 5:56:01 AM,C,18.03
22/1/24 7:56:01 AM,C,18.03
22/1/24 9:56:01 AM,C,20.032
22/1/24 11:56:01 AM,C,22.533
22/1/24 1:56:01 PM,C,24.033
22/1/24 3:56:01 PM,C,23.533
22/1/24 5:56:01 PM,C,22.033
22/1/24 7:56:01 PM,C,21.532
22/1/24 9:56:01 PM,C,20.532
22/1/24 11:56:01 PM,C,20.032
23/1/24 1:56:01 AM,C,19.031
23/1/24 3:56:01 AM,C,18.53
23/1/24 5:56:01 AM,C,18.03
23/1/24 7:56:01 AM,C,19.031
23/1/24 9:56:01 AM,C,20.032
23/1/24 11:56:01 AM,C,22.533
23/1/24 1:56:01 PM,C,23.533
23/1/24 3:56:01 PM,C,23.533
23/1/24 5:56:01 PM,C,22.033
23/1/24 7:56:01 PM,C,20.032
23/1/24 9:56:01 PM,C,19.031
23/1/24 11:56:01 PM,C,18.53
24/1/24 1:56:01 AM,C,17.53
24/1/24 3:56:01 AM,C,17.029
24/1/24 5:56:01 AM,C,16.028
24/1/24 7:56:01 AM,C,16.528
24/1/24 9:56:01 AM,C,19.531
24/1/24 11:56:01 AM,C,21.532
24/1/24 1:56:01 PM,C,22.533
24/1/24 3:56:01 PM,C,22.533
24/1/24 5:56:01 PM,C,21.032
24/1/24 7:56:01 PM,C,19.031
24/1/24 9:56:01 PM,C,18.03
24/1/24 11:56:01 PM,C,17.53
25/1/24 1:56:01 AM,C,17.029
25/1/24 3:56:01 AM,C,17.029
25/1/24 5:56:01 AM,C,17.029
25/1/24 7:56:01 AM,C,16.028
25/1/24 9:56:01 AM,C,19.531
25/1/24 11:56:01 AM,C,22.033
25/1/24 1:56:01 PM,C,22.033
25/1/24 3:56:01 PM,C,22.033
25/1/24 5:56:01 PM,C,21.032
25/1/24 7:56:01 PM,C,19.531
25/1/24 9:56:01 PM,C,18.53
25/1/24 11:56:01 PM,C,18.53
26/1/24 1:56:01 AM,C,17.53
26/1/24 3:56:01 AM,C,18.53
26/1/24 5:56:01 AM,C,18.03
26/1/24 7:56:01 AM,C,17.53
26/1/24 9:56:01 AM,C,19.031
26/1/24 11:56:01 AM,C,21.532
26/1/24 1:56:01 PM,C,23.033
26/1/24 3:56:01 PM,C,23.533
26/1/24 5:56:01 PM,C,22.533
26/1/24 7:56:01 PM,C,20.032
26/1/24 9:56:01 PM,C,18.53
26/1/24 11:56:01 PM,C,18.53
27/1/24 1:56:01 AM,C,18.53
27/1/24 3:56:01 AM,C,17.53
27/1/24 5:56:01 AM,C,16.528
27/1/24 7:56:01 AM,C,16.528
27/1/24 9:56:01 AM,C,19.031
27/1/24 11:56:01 AM,C,21.032
27/1/24 1:56:01 PM,C,23.033
27/1/24 3:56:01 PM,C,23.533
27/1/24 5:56:01 PM,C,22.533
27/1/24 7:56:01 PM,C,21.032
27/1/24 9:56:01 PM,C,20.032
27/1/24 11:56:01 PM,C,19.031
28/1/24 1:56:01 AM,C,18.53
28/1/24 3:56:01 AM,C,17.53
28/1/24 5:56:01 AM,C,17.029
28/1/24 7:56:01 AM,C,17.029
28/1/24 9:56:01 AM,C,19.031
28/1/24 11:56:01 AM,C,21.532
28/1/24 1:56:01 PM,C,23.033
28/1/24 3:56:01 PM,C,23.033
28/1/24 5:56:01 PM,C,22.533
28/1/24 7:56:01 PM,C,19.531
28/1/24 9:56:01 PM,C,18.53
28/1/24 11:56:01 PM,C,17.53
29/1/24 1:56:01 AM,C,17.53
29/1/24 3:56:01 AM,C,18.03
29/1/24 5:56:01 AM,C,17.53
29/1/24 7:56:01 AM,C,17.029
29/1/24 9:56:01 AM,C,19.031
29/1/24 11:56:01 AM,C,20.532
29/1/24 1:56:01 PM,C,23.033
29/1/24 3:56:01 PM,C,23.533
29/1/24 5:56:01 PM,C,21.532
29/1/24 7:56:01 PM,C,19.531
29/1/24 9:56:01 PM,C,18.53
29/1/24 11:56:01 PM,C,17.53
30/1/24 1:56:01 AM,C,18.53
30/1/24 3:56:01 AM,C,18.53
30/1/24 5:56:01 AM,C,17.029
30/1/24 7:56:01 AM,C,16.528
30/1/24 9:56:01 AM,C,18.53
30/1/24 11:56:01 AM,C,21.532
30/1/24 1:56:01 PM,C,23.533
30/1/24 3:56:01 PM,C,22.533
30/1/24 5:56:01 PM,C,21.032
30/1/24 7:56:01 PM,C,19.531
30/1/24 9:56:01 PM,C,19.031
30/1/24 11:56:01 PM,C,18.03
31/1/24 1:56:01 AM,C,17.53
31/1/24 3:56:01 AM,C,18.03
31/1/24 5:56:01 AM,C,17.029
31/1/24 7:56:01 AM,C,17.53
31/1/24 9:56:01 AM,C,20.032
31/1/24 11:56:01 AM,C,22.033
31/1/24 1:56:01 PM,C,23.033
31/1/24 3:56:01 PM,C,22.533
31/1/24 5:56:01 PM,C,21.532
31/1/24 7:56:01 PM,C,19.531
31/1/24 9:56:01 PM,C,18.03
31/1/24 11:56:01 PM,C,18.03
1/2/24 1:56:01 AM,C,18.03
1/2/24 3:56:01 AM,C,17.53
1/2/24 5:56:01 AM,C,17.53
1/2/24 7:56:01 AM,C,17.029
1/2/24 9:56:01 AM,C,20.032
1/2/24 11:56:01 AM,C,22.033
1/2/24 1:56:01 PM,C,23.033
1/2/24 3:56:01 PM,C,22.533
1/2/24 5:56:01 PM,C,21.032
1/2/24 7:56:01 PM,C,19.531
1/2/24 9:56:01 PM,C,18.53
1/2/24 11:56:01 PM,C,18.53
2/2/24 1:56:01 AM,C,18.53
2/2/24 3:56:01 AM,C,18.03
2/2/24 5:56:01 AM,C,16.528
2/2/24 7:56:01 AM,C,16.528
2/2/24 9:56:01 AM,C,19.531
2/2/24 11:56:01 AM,C,22.033
2/2/24 1:56:01 PM,C,23.533
2/2/24 3:56:01 PM,C,23.033
2/2/24 5:56:01 PM,C,21.532
2/2/24 7:56:01 PM,C,20.032
2/2/24 9:56:01 PM,C,19.031
2/2/24 11:56:01 PM,C,18.03
3/2/24 1:56:01 AM,C,17.53
3/2/24 3:56:01 AM,C,17.029
3/2/24 5:56:01 AM,C,19.031
3/2/24 7:56:01 AM,C,18.53
3/2/24 9:56:01 AM,C,20.532
3/2/24 11:56:01 AM,C,23.033
3/2/24 1:56:01 PM,C,23.533
3/2/24 3:56:01 PM,C,24.033
3/2/24 5:56:01 PM,C,22.533
3/2/24 7:56:01 PM,C,20.532
3/2/24 9:56:01 PM,C,20.032
3/2/24 11:56:01 PM,C,19.531
4/2/24 1:56:01 AM,C,19.031
4/2/24 3:56:01 AM,C,20.032
4/2/24 5:56:01 AM,C,19.531
4/2/24 7:56:01 AM,C,19.531
4/2/24 9:56:01 AM,C,20.532
4/2/24 11:56:01 AM,C,22.533
4/2/24 1:56:01 PM,C,24.033
4/2/24 3:56:01 PM,C,24.533
4/2/24 5:56:01 PM,C,23.533
4/2/24 7:56:01 PM,C,21.532
4/2/24 9:56:01 PM,C,20.032
4/2/24 11:56:01 PM,C,18.53
5/2/24 1:56:01 AM,C,18.53
5/2/24 3:56:01 AM,C,18.03
5/2/24 5:56:01 AM,C,18.53
5/2/24 7:56:01 AM,C,18.53
5/2/24 9:56:01 AM,C,20.032
5/2/24 11:56:01 AM,C,23.033
5/2/24 1:56:01 PM,C,25.533
5/2/24 3:56:01 PM,C,26.033
5/2/24 5:56:01 PM,C,24.533
5/2/24 7:56:01 PM,C,21.532
5/2/24 9:56:01 PM,C,21.032
5/2/24 11:56:01 PM,C,20.032
6/2/24 1:56:01 AM,C,18.53
6/2/24 3:56:01 AM,C,18.03
6/2/24 5:56:01 AM,C,18.53
6/2/24 7:56:01 AM,C,18.53
6/2/24 9:56:01 AM,C,20.532
6/2/24 11:56:01 AM,C,24.033
6/2/24 1:56:01 PM,C,26.533
6/2/24 3:56:01 PM,C,27.033
6/2/24 5:56:01 PM,C,25.533
6/2/24 7:56:01 PM,C,21.532
6/2/24 9:56:01 PM,C,21.032
6/2/24 11:56:01 PM,C,20.032
7/2/24 1:56:01 AM,C,20.532
