1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F10000007D83CF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:56:01 IST 2024
Mission Sample Count:  2696
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:56:01 IST 2024
Total Mission Samples:  2696
Total Device Samples:  11433
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:56:01 PM,%RH,77.309
11/1/24 11:56:01 PM,%RH,77.309
12/1/24 1:56:01 AM,%RH,78.441
12/1/24 3:56:01 AM,%RH,77.876
12/1/24 5:56:01 AM,%RH,77.309
12/1/24 7:56:01 AM,%RH,77.876
12/1/24 9:56:01 AM,%RH,73.303
12/1/24 11:56:01 AM,%RH,70.981
12/1/24 1:56:01 PM,%RH,62.672
12/1/24 3:56:01 PM,%RH,62.067
12/1/24 5:56:01 PM,%RH,67.455
12/1/24 7:56:01 PM,%RH,73.303
12/1/24 9:56:01 PM,%RH,79.005
12/1/24 11:56:01 PM,%RH,82.356
13/1/24 1:56:01 AM,%RH,84.561
13/1/24 3:56:01 AM,%RH,91.036
13/1/24 5:56:01 AM,%RH,93.147
13/1/24 7:56:01 AM,%RH,94.715
13/1/24 9:56:01 AM,%RH,89.437
13/1/24 11:56:01 AM,%RH,72.725
13/1/24 1:56:01 PM,%RH,67.455
13/1/24 3:56:01 PM,%RH,66.862
13/1/24 5:56:01 PM,%RH,84.561
13/1/24 7:56:01 PM,%RH,92.094
13/1/24 9:56:01 PM,%RH,96.271
13/1/24 11:56:01 PM,%RH,91.566
14/1/24 1:56:01 AM,%RH,88.901
14/1/24 3:56:01 AM,%RH,88.901
14/1/24 5:56:01 AM,%RH,91.036
14/1/24 7:56:01 AM,%RH,93.671
14/1/24 9:56:01 AM,%RH,89.971
14/1/24 11:56:01 AM,%RH,68.636
14/1/24 1:56:01 PM,%RH,60.245
14/1/24 3:56:01 PM,%RH,58.41
14/1/24 5:56:01 PM,%RH,86.199
14/1/24 7:56:01 PM,%RH,88.901
14/1/24 9:56:01 PM,%RH,68.046
14/1/24 11:56:01 PM,%RH,70.397
15/1/24 1:56:01 AM,%RH,76.172
15/1/24 3:56:01 AM,%RH,83.461
15/1/24 5:56:01 AM,%RH,89.437
15/1/24 7:56:01 AM,%RH,92.621
15/1/24 9:56:01 AM,%RH,91.036
15/1/24 11:56:01 AM,%RH,77.876
15/1/24 1:56:01 PM,%RH,66.268
15/1/24 3:56:01 PM,%RH,74.455
15/1/24 5:56:01 PM,%RH,84.012
15/1/24 7:56:01 PM,%RH,87.824
15/1/24 9:56:01 PM,%RH,94.194
15/1/24 11:56:01 PM,%RH,95.235
16/1/24 1:56:01 AM,%RH,94.194
16/1/24 3:56:01 AM,%RH,89.971
16/1/24 5:56:01 AM,%RH,90.504
16/1/24 7:56:01 AM,%RH,93.147
16/1/24 9:56:01 AM,%RH,95.235
16/1/24 11:56:01 AM,%RH,78.441
16/1/24 1:56:01 PM,%RH,77.309
16/1/24 3:56:01 PM,%RH,84.561
16/1/24 5:56:01 PM,%RH,90.504
16/1/24 7:56:01 PM,%RH,95.754
16/1/24 9:56:01 PM,%RH,97.813
16/1/24 11:56:01 PM,%RH,98.834
17/1/24 1:56:01 AM,%RH,98.324
17/1/24 3:56:01 AM,%RH,99.849
17/1/24 5:56:01 AM,%RH,99.342
17/1/24 7:56:01 AM,%RH,98.834
17/1/24 9:56:01 AM,%RH,93.671
17/1/24 11:56:01 AM,%RH,84.012
17/1/24 1:56:01 PM,%RH,85.654
17/1/24 3:56:01 PM,%RH,80.128
17/1/24 5:56:01 PM,%RH,84.561
17/1/24 7:56:01 PM,%RH,91.036
17/1/24 9:56:01 PM,%RH,96.271
17/1/24 11:56:01 PM,%RH,98.324
18/1/24 1:56:01 AM,%RH,97.3
18/1/24 3:56:01 AM,%RH,99.342
