1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F10000007D8D5141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:41:01 IST 2024
Mission Sample Count:  3298
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:41:01 IST 2024
Total Mission Samples:  3298
Total Device Samples:  12585
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:41:01 PM,C,22.63
9/1/24 11:41:01 PM,C,22.129
10/1/24 1:41:01 AM,C,21.629
10/1/24 3:41:01 AM,C,21.128
10/1/24 5:41:01 AM,C,20.628
10/1/24 7:41:01 AM,C,20.628
10/1/24 9:41:01 AM,C,21.128
10/1/24 11:41:01 AM,C,22.129
10/1/24 1:41:01 PM,C,22.63
10/1/24 3:41:01 PM,C,22.63
10/1/24 5:41:01 PM,C,22.63
10/1/24 7:41:01 PM,C,22.129
10/1/24 9:41:01 PM,C,22.129
10/1/24 11:41:01 PM,C,21.629
11/1/24 1:41:01 AM,C,21.128
11/1/24 3:41:01 AM,C,21.128
11/1/24 5:41:01 AM,C,20.628
11/1/24 7:41:01 AM,C,20.628
11/1/24 9:41:01 AM,C,20.127
11/1/24 11:41:01 AM,C,24.131
11/1/24 1:41:01 PM,C,24.131
11/1/24 3:41:01 PM,C,24.631
11/1/24 5:41:01 PM,C,22.63
11/1/24 7:41:01 PM,C,19.626
11/1/24 9:41:01 PM,C,19.626
11/1/24 11:41:01 PM,C,17.623
12/1/24 1:41:01 AM,C,18.625
12/1/24 3:41:01 AM,C,17.623
12/1/24 5:41:01 AM,C,17.122
12/1/24 7:41:01 AM,C,16.621
12/1/24 9:41:01 AM,C,18.625
12/1/24 11:41:01 AM,C,21.629
12/1/24 1:41:01 PM,C,23.13
12/1/24 3:41:01 PM,C,24.131
12/1/24 5:41:01 PM,C,22.63
12/1/24 7:41:01 PM,C,19.626
12/1/24 9:41:01 PM,C,18.625
12/1/24 11:41:01 PM,C,17.623
13/1/24 1:41:01 AM,C,16.621
13/1/24 3:41:01 AM,C,16.12
13/1/24 5:41:01 AM,C,16.12
13/1/24 7:41:01 AM,C,17.122
13/1/24 9:41:01 AM,C,18.625
13/1/24 11:41:01 AM,C,22.63
13/1/24 1:41:01 PM,C,23.63
13/1/24 3:41:01 PM,C,24.131
13/1/24 5:41:01 PM,C,22.63
13/1/24 7:41:01 PM,C,20.127
13/1/24 9:41:01 PM,C,19.626
13/1/24 11:41:01 PM,C,18.625
14/1/24 1:41:01 AM,C,18.625
14/1/24 3:41:01 AM,C,18.625
14/1/24 5:41:01 AM,C,18.124
14/1/24 7:41:01 AM,C,18.124
14/1/24 9:41:01 AM,C,19.626
14/1/24 11:41:01 AM,C,24.131
14/1/24 1:41:01 PM,C,23.63
14/1/24 3:41:01 PM,C,24.631
14/1/24 5:41:01 PM,C,23.63
14/1/24 7:41:01 PM,C,19.626
14/1/24 9:41:01 PM,C,19.126
14/1/24 11:41:01 PM,C,19.126
15/1/24 1:41:01 AM,C,18.625
15/1/24 3:41:01 AM,C,18.124
15/1/24 5:41:01 AM,C,16.621
15/1/24 7:41:01 AM,C,16.12
15/1/24 9:41:01 AM,C,18.625
15/1/24 11:41:01 AM,C,23.13
15/1/24 1:41:01 PM,C,24.131
15/1/24 3:41:01 PM,C,23.13
15/1/24 5:41:01 PM,C,21.629
15/1/24 7:41:01 PM,C,20.127
15/1/24 9:41:01 PM,C,19.626
15/1/24 11:41:01 PM,C,18.625
16/1/24 1:41:01 AM,C,18.625
16/1/24 3:41:01 AM,C,17.623
16/1/24 5:41:01 AM,C,17.623
16/1/24 7:41:01 AM,C,17.122
16/1/24 9:41:01 AM,C,18.625
16/1/24 11:41:01 AM,C,23.13
16/1/24 1:41:01 PM,C,23.63
16/1/24 3:41:01 PM,C,22.63
16/1/24 5:41:01 PM,C,21.629
16/1/24 7:41:01 PM,C,19.626
16/1/24 9:41:01 PM,C,19.626
16/1/24 11:41:01 PM,C,19.626
17/1/24 1:41:01 AM,C,19.126
17/1/24 3:41:01 AM,C,19.126
17/1/24 5:41:01 AM,C,18.625
17/1/24 7:41:01 AM,C,18.124
17/1/24 9:41:01 AM,C,19.626
17/1/24 11:41:01 AM,C,22.129
17/1/24 1:41:01 PM,C,22.63
17/1/24 3:41:01 PM,C,22.63
17/1/24 5:41:01 PM,C,21.629
17/1/24 7:41:01 PM,C,20.127
17/1/24 9:41:01 PM,C,20.127
17/1/24 11:41:01 PM,C,20.127
18/1/24 1:41:01 AM,C,18.625
18/1/24 3:41:01 AM,C,18.124
18/1/24 5:41:01 AM,C,18.124
18/1/24 7:41:01 AM,C,18.625
18/1/24 9:41:01 AM,C,20.127
18/1/24 11:41:01 AM,C,22.63
18/1/24 1:41:01 PM,C,22.63
18/1/24 3:41:01 PM,C,22.63
18/1/24 5:41:01 PM,C,21.629
18/1/24 7:41:01 PM,C,20.628
18/1/24 9:41:01 PM,C,20.127
18/1/24 11:41:01 PM,C,19.126
19/1/24 1:41:01 AM,C,19.626
19/1/24 3:41:01 AM,C,19.126
19/1/24 5:41:01 AM,C,18.124
19/1/24 7:41:01 AM,C,18.625
19/1/24 9:41:01 AM,C,19.126
19/1/24 11:41:01 AM,C,21.128
19/1/24 1:41:01 PM,C,23.63
19/1/24 3:41:01 PM,C,23.13
19/1/24 5:41:01 PM,C,22.129
19/1/24 7:41:01 PM,C,20.628
19/1/24 9:41:01 PM,C,20.628
19/1/24 11:41:01 PM,C,19.126
20/1/24 1:41:01 AM,C,18.625
20/1/24 3:41:01 AM,C,18.625
20/1/24 5:41:01 AM,C,17.623
20/1/24 7:41:01 AM,C,17.623
20/1/24 9:41:01 AM,C,19.626
20/1/24 11:41:01 AM,C,22.129
20/1/24 1:41:01 PM,C,23.63
20/1/24 3:41:01 PM,C,23.13
20/1/24 5:41:01 PM,C,22.129
20/1/24 7:41:01 PM,C,20.628
20/1/24 9:41:01 PM,C,20.127
20/1/24 11:41:01 PM,C,20.127
21/1/24 1:41:01 AM,C,20.127
21/1/24 3:41:01 AM,C,18.625
21/1/24 5:41:01 AM,C,18.625
21/1/24 7:41:01 AM,C,18.625
21/1/24 9:41:01 AM,C,19.626
21/1/24 11:41:01 AM,C,23.13
21/1/24 1:41:01 PM,C,24.131
21/1/24 3:41:01 PM,C,24.131
21/1/24 5:41:01 PM,C,22.63
21/1/24 7:41:01 PM,C,21.128
21/1/24 9:41:01 PM,C,21.128
21/1/24 11:41:01 PM,C,20.127
22/1/24 1:41:01 AM,C,20.127
22/1/24 3:41:01 AM,C,19.626
22/1/24 5:41:01 AM,C,18.625
22/1/24 7:41:01 AM,C,18.625
22/1/24 9:41:01 AM,C,20.628
