1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F60000007DAAA541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 22:05:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 22:05:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  12038
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 10:05:01 PM,%RH,77.978
12/1/24 12:05:01 AM,%RH,78.557
12/1/24 2:05:01 AM,%RH,78.557
12/1/24 4:05:01 AM,%RH,79.136
12/1/24 6:05:01 AM,%RH,79.136
12/1/24 8:05:01 AM,%RH,79.713
12/1/24 10:05:01 AM,%RH,73.285
12/1/24 12:05:01 PM,%RH,67.283
12/1/24 2:05:01 PM,%RH,57.367
12/1/24 4:05:01 PM,%RH,55.465
12/1/24 6:05:01 PM,%RH,66.675
12/1/24 8:05:01 PM,%RH,73.285
12/1/24 10:05:01 PM,%RH,75.643
13/1/24 12:05:01 AM,%RH,81.434
13/1/24 2:05:01 AM,%RH,82.574
13/1/24 4:05:01 AM,%RH,90.933
13/1/24 6:05:01 AM,%RH,93.105
13/1/24 8:05:01 AM,%RH,94.181
13/1/24 10:05:01 AM,%RH,85.958
13/1/24 12:05:01 PM,%RH,63.61
13/1/24 2:05:01 PM,%RH,64.84
13/1/24 4:05:01 PM,%RH,65.453
13/1/24 6:05:01 PM,%RH,83.708
13/1/24 8:05:01 PM,%RH,90.933
13/1/24 10:05:01 PM,%RH,94.181
14/1/24 12:05:01 AM,%RH,85.398
14/1/24 2:05:01 AM,%RH,88.737
14/1/24 4:05:01 AM,%RH,88.184
14/1/24 6:05:01 AM,%RH,90.933
14/1/24 8:05:01 AM,%RH,92.022
