1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F60000007DABBC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:37:01 IST 2024
Mission Sample Count:  3237
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:37:01 IST 2024
Total Mission Samples:  3237
Total Device Samples:  12694
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:37:01 PM,%RH,81.445
14/1/24 11:37:01 PM,%RH,82.001
15/1/24 1:37:01 AM,%RH,82.001
15/1/24 3:37:01 AM,%RH,82.001
15/1/24 5:37:01 AM,%RH,82.001
15/1/24 7:37:01 AM,%RH,82.001
15/1/24 9:37:01 AM,%RH,82.555
15/1/24 11:37:01 AM,%RH,69.47
15/1/24 1:37:01 PM,%RH,60.56
15/1/24 3:37:01 PM,%RH,78.647
15/1/24 5:37:01 PM,%RH,84.211
15/1/24 7:37:01 PM,%RH,88.027
15/1/24 9:37:01 PM,%RH,94.419
15/1/24 11:37:01 PM,%RH,95.988
16/1/24 1:37:01 AM,%RH,96.508
16/1/24 3:37:01 AM,%RH,95.988
16/1/24 5:37:01 AM,%RH,83.66
16/1/24 7:37:01 AM,%RH,91.247
16/1/24 9:37:01 AM,%RH,93.367
16/1/24 11:37:01 AM,%RH,79.209
16/1/24 1:37:01 PM,%RH,67.712
16/1/24 3:37:01 PM,%RH,81.445
16/1/24 5:37:01 PM,%RH,89.643
16/1/24 7:37:01 PM,%RH,94.944
16/1/24 9:37:01 PM,%RH,97.027
16/1/24 11:37:01 PM,%RH,99.089
17/1/24 1:37:01 AM,%RH,99.601
17/1/24 3:37:01 AM,%RH,99.601
17/1/24 5:37:01 AM,%RH,101.13
17/1/24 7:37:01 AM,%RH,100.622
17/1/24 9:37:01 AM,%RH,91.779
17/1/24 11:37:01 AM,%RH,82.001
17/1/24 1:37:01 PM,%RH,84.211
17/1/24 3:37:01 PM,%RH,83.66
17/1/24 5:37:01 PM,%RH,87.486
17/1/24 7:37:01 PM,%RH,91.247
17/1/24 9:37:01 PM,%RH,98.06
17/1/24 11:37:01 PM,%RH,99.601
18/1/24 1:37:01 AM,%RH,99.601
18/1/24 3:37:01 AM,%RH,100.622
18/1/24 5:37:01 AM,%RH,100.622
18/1/24 7:37:01 AM,%RH,100.622
18/1/24 9:37:01 AM,%RH,94.419
18/1/24 11:37:01 AM,%RH,79.209
18/1/24 1:37:01 PM,%RH,76.952
18/1/24 3:37:01 PM,%RH,89.643
18/1/24 5:37:01 PM,%RH,90.179
18/1/24 7:37:01 PM,%RH,95.988
18/1/24 9:37:01 PM,%RH,98.575
18/1/24 11:37:01 PM,%RH,99.601
19/1/24 1:37:01 AM,%RH,99.601
19/1/24 3:37:01 AM,%RH,100.622
19/1/24 5:37:01 AM,%RH,100.622
19/1/24 7:37:01 AM,%RH,101.637
19/1/24 9:37:01 AM,%RH,100.112
19/1/24 11:37:01 AM,%RH,84.211
19/1/24 1:37:01 PM,%RH,85.308
19/1/24 3:37:01 PM,%RH,92.31
19/1/24 5:37:01 PM,%RH,93.894
19/1/24 7:37:01 PM,%RH,97.544
19/1/24 9:37:01 PM,%RH,99.601
19/1/24 11:37:01 PM,%RH,99.089
20/1/24 1:37:01 AM,%RH,101.13
20/1/24 3:37:01 AM,%RH,98.06
20/1/24 5:37:01 AM,%RH,99.601
20/1/24 7:37:01 AM,%RH,101.13
20/1/24 9:37:01 AM,%RH,93.894
20/1/24 11:37:01 AM,%RH,82.555
20/1/24 1:37:01 PM,%RH,86.943
20/1/24 3:37:01 PM,%RH,89.106
20/1/24 5:37:01 PM,%RH,92.31
20/1/24 7:37:01 PM,%RH,97.027
20/1/24 9:37:01 PM,%RH,99.089
20/1/24 11:37:01 PM,%RH,99.089
21/1/24 1:37:01 AM,%RH,100.622
21/1/24 3:37:01 AM,%RH,102.647
21/1/24 5:37:01 AM,%RH,102.143
21/1/24 7:37:01 AM,%RH,101.637
21/1/24 9:37:01 AM,%RH,94.944
21/1/24 11:37:01 AM,%RH,82.001
21/1/24 1:37:01 PM,%RH,70.635
21/1/24 3:37:01 PM,%RH,80.888
21/1/24 5:37:01 PM,%RH,86.4
21/1/24 7:37:01 PM,%RH,94.944
21/1/24 9:37:01 PM,%RH,98.06
21/1/24 11:37:01 PM,%RH,98.06
22/1/24 1:37:01 AM,%RH,100.622
22/1/24 3:37:01 AM,%RH,100.112
22/1/24 5:37:01 AM,%RH,104.152
22/1/24 7:37:01 AM,%RH,103.15
22/1/24 9:37:01 AM,%RH,98.06
22/1/24 11:37:01 AM,%RH,81.445
22/1/24 1:37:01 PM,%RH,76.952
22/1/24 3:37:01 PM,%RH,87.486
22/1/24 5:37:01 PM,%RH,89.643
22/1/24 7:37:01 PM,%RH,93.367
22/1/24 9:37:01 PM,%RH,97.544
22/1/24 11:37:01 PM,%RH,100.112
23/1/24 1:37:01 AM,%RH,99.089
23/1/24 3:37:01 AM,%RH,100.112
23/1/24 5:37:01 AM,%RH,101.13
23/1/24 7:37:01 AM,%RH,96.508
23/1/24 9:37:01 AM,%RH,92.31
23/1/24 11:37:01 AM,%RH,78.083
23/1/24 1:37:01 PM,%RH,79.77
23/1/24 3:37:01 PM,%RH,88.567
23/1/24 5:37:01 PM,%RH,92.31
23/1/24 7:37:01 PM,%RH,92.31
23/1/24 9:37:01 PM,%RH,93.894
23/1/24 11:37:01 PM,%RH,95.988
24/1/24 1:37:01 AM,%RH,98.06
24/1/24 3:37:01 AM,%RH,93.367
24/1/24 5:37:01 AM,%RH,92.839
24/1/24 7:37:01 AM,%RH,91.779
24/1/24 9:37:01 AM,%RH,85.854
24/1/24 11:37:01 AM,%RH,75.245
24/1/24 1:37:01 PM,%RH,74.673
24/1/24 3:37:01 PM,%RH,78.647
24/1/24 5:37:01 PM,%RH,84.76
24/1/24 7:37:01 PM,%RH,90.714
24/1/24 9:37:01 PM,%RH,93.367
24/1/24 11:37:01 PM,%RH,94.419
25/1/24 1:37:01 AM,%RH,85.308
25/1/24 3:37:01 AM,%RH,79.77
25/1/24 5:37:01 AM,%RH,86.943
25/1/24 7:37:01 AM,%RH,87.486
25/1/24 9:37:01 AM,%RH,75.815
25/1/24 11:37:01 AM,%RH,80.33
25/1/24 1:37:01 PM,%RH,85.854
25/1/24 3:37:01 PM,%RH,85.308
25/1/24 5:37:01 PM,%RH,88.027
25/1/24 7:37:01 PM,%RH,95.466
25/1/24 9:37:01 PM,%RH,98.06
25/1/24 11:37:01 PM,%RH,99.089
26/1/24 1:37:01 AM,%RH,100.112
26/1/24 3:37:01 AM,%RH,91.779
26/1/24 5:37:01 AM,%RH,95.988
26/1/24 7:37:01 AM,%RH,93.367
26/1/24 9:37:01 AM,%RH,83.66
26/1/24 11:37:01 AM,%RH,66.533
26/1/24 1:37:01 PM,%RH,59.955
26/1/24 3:37:01 PM,%RH,54.455
26/1/24 5:37:01 PM,%RH,61.163
26/1/24 7:37:01 PM,%RH,85.308
26/1/24 9:37:01 PM,%RH,93.894
26/1/24 11:37:01 PM,%RH,93.894
27/1/24 1:37:01 AM,%RH,62.366
27/1/24 3:37:01 AM,%RH,68.885
27/1/24 5:37:01 AM,%RH,83.66
27/1/24 7:37:01 AM,%RH,91.779
27/1/24 9:37:01 AM,%RH,85.854
27/1/24 11:37:01 AM,%RH,62.965
27/1/24 1:37:01 PM,%RH,51.976
27/1/24 3:37:01 PM,%RH,51.353
27/1/24 5:37:01 PM,%RH,55.687
27/1/24 7:37:01 PM,%RH,58.134
27/1/24 9:37:01 PM,%RH,55.687
27/1/24 11:37:01 PM,%RH,63.563
28/1/24 1:37:01 AM,%RH,70.635
28/1/24 3:37:01 AM,%RH,80.888
28/1/24 5:37:01 AM,%RH,88.567
28/1/24 7:37:01 AM,%RH,92.31
28/1/24 9:37:01 AM,%RH,82.001
28/1/24 11:37:01 AM,%RH,64.159
28/1/24 1:37:01 PM,%RH,52.598
28/1/24 3:37:01 PM,%RH,52.598
28/1/24 5:37:01 PM,%RH,60.56
28/1/24 7:37:01 PM,%RH,79.77
28/1/24 9:37:01 PM,%RH,84.211
28/1/24 11:37:01 PM,%RH,91.247
29/1/24 1:37:01 AM,%RH,89.643
29/1/24 3:37:01 AM,%RH,74.673
29/1/24 5:37:01 AM,%RH,79.77
29/1/24 7:37:01 AM,%RH,85.308
29/1/24 9:37:01 AM,%RH,84.76
29/1/24 11:37:01 AM,%RH,71.796
29/1/24 1:37:01 PM,%RH,62.965
29/1/24 3:37:01 PM,%RH,58.134
29/1/24 5:37:01 PM,%RH,81.445
29/1/24 7:37:01 PM,%RH,86.4
29/1/24 9:37:01 PM,%RH,89.106
29/1/24 11:37:01 PM,%RH,92.839
30/1/24 1:37:01 AM,%RH,66.533
30/1/24 3:37:01 AM,%RH,67.123
30/1/24 5:37:01 AM,%RH,78.647
30/1/24 7:37:01 AM,%RH,84.76
30/1/24 9:37:01 AM,%RH,80.33
30/1/24 11:37:01 AM,%RH,66.533
30/1/24 1:37:01 PM,%RH,65.349
30/1/24 3:37:01 PM,%RH,74.1
30/1/24 5:37:01 PM,%RH,72.951
30/1/24 7:37:01 PM,%RH,79.209
30/1/24 9:37:01 PM,%RH,94.944
30/1/24 11:37:01 PM,%RH,91.247
31/1/24 1:37:01 AM,%RH,85.308
31/1/24 3:37:01 AM,%RH,87.486
31/1/24 5:37:01 AM,%RH,89.643
31/1/24 7:37:01 AM,%RH,83.109
31/1/24 9:37:01 AM,%RH,76.384
31/1/24 11:37:01 AM,%RH,68.885
31/1/24 1:37:01 PM,%RH,66.533
31/1/24 3:37:01 PM,%RH,68.885
31/1/24 5:37:01 PM,%RH,75.815
31/1/24 7:37:01 PM,%RH,82.001
31/1/24 9:37:01 PM,%RH,83.66
31/1/24 11:37:01 PM,%RH,94.944
1/2/24 1:37:01 AM,%RH,97.027
1/2/24 3:37:01 AM,%RH,98.06
1/2/24 5:37:01 AM,%RH,97.544
1/2/24 7:37:01 AM,%RH,85.854
1/2/24 9:37:01 AM,%RH,79.77
1/2/24 11:37:01 AM,%RH,73.526
1/2/24 1:37:01 PM,%RH,73.526
1/2/24 3:37:01 PM,%RH,77.518
1/2/24 5:37:01 PM,%RH,82.555
1/2/24 7:37:01 PM,%RH,88.567
1/2/24 9:37:01 PM,%RH,94.419
1/2/24 11:37:01 PM,%RH,97.027
2/2/24 1:37:01 AM,%RH,98.06
2/2/24 3:37:01 AM,%RH,97.544
2/2/24 5:37:01 AM,%RH,98.06
2/2/24 7:37:01 AM,%RH,95.466
2/2/24 9:37:01 AM,%RH,83.66
2/2/24 11:37:01 AM,%RH,72.951
2/2/24 1:37:01 PM,%RH,70.053
2/2/24 3:37:01 PM,%RH,75.245
2/2/24 5:37:01 PM,%RH,78.647
2/2/24 7:37:01 PM,%RH,91.779
2/2/24 9:37:01 PM,%RH,97.027
2/2/24 11:37:01 PM,%RH,97.027
3/2/24 1:37:01 AM,%RH,92.839
3/2/24 3:37:01 AM,%RH,86.4
3/2/24 5:37:01 AM,%RH,83.66
3/2/24 7:37:01 AM,%RH,85.308
3/2/24 9:37:01 AM,%RH,83.109
3/2/24 11:37:01 AM,%RH,74.1
3/2/24 1:37:01 PM,%RH,65.941
3/2/24 3:37:01 PM,%RH,82.555
3/2/24 5:37:01 PM,%RH,85.308
3/2/24 7:37:01 PM,%RH,92.839
3/2/24 9:37:01 PM,%RH,93.894
3/2/24 11:37:01 PM,%RH,94.944
4/2/24 1:37:01 AM,%RH,96.508
4/2/24 3:37:01 AM,%RH,89.643
4/2/24 5:37:01 AM,%RH,92.31
4/2/24 7:37:01 AM,%RH,90.179
4/2/24 9:37:01 AM,%RH,79.77
4/2/24 11:37:01 AM,%RH,68.885
4/2/24 1:37:01 PM,%RH,59.35
4/2/24 3:37:01 PM,%RH,64.159
4/2/24 5:37:01 PM,%RH,79.77
4/2/24 7:37:01 PM,%RH,92.839
4/2/24 9:37:01 PM,%RH,97.027
4/2/24 11:37:01 PM,%RH,98.575
5/2/24 1:37:01 AM,%RH,95.988
5/2/24 3:37:01 AM,%RH,94.944
5/2/24 5:37:01 AM,%RH,75.815
5/2/24 7:37:01 AM,%RH,80.888
5/2/24 9:37:01 AM,%RH,77.518
5/2/24 11:37:01 AM,%RH,58.742
5/2/24 1:37:01 PM,%RH,46.955
5/2/24 3:37:01 PM,%RH,37.314
5/2/24 5:37:01 PM,%RH,62.965
5/2/24 7:37:01 PM,%RH,78.647
5/2/24 9:37:01 PM,%RH,93.894
5/2/24 11:37:01 PM,%RH,97.027
6/2/24 1:37:01 AM,%RH,99.601
6/2/24 3:37:01 AM,%RH,89.643
6/2/24 5:37:01 AM,%RH,81.445
6/2/24 7:37:01 AM,%RH,82.555
6/2/24 9:37:01 AM,%RH,76.384
6/2/24 11:37:01 AM,%RH,51.353
6/2/24 1:37:01 PM,%RH,36.66
6/2/24 3:37:01 PM,%RH,31.386
6/2/24 5:37:01 PM,%RH,40.561
6/2/24 7:37:01 PM,%RH,72.374
6/2/24 9:37:01 PM,%RH,91.247
6/2/24 11:37:01 PM,%RH,91.247
7/2/24 1:37:01 AM,%RH,70.635
7/2/24 3:37:01 AM,%RH,61.163
7/2/24 5:37:01 AM,%RH,70.053
7/2/24 7:37:01 AM,%RH,74.673
7/2/24 9:37:01 AM,%RH,65.349
7/2/24 11:37:01 AM,%RH,38.616
7/2/24 1:37:01 PM,%RH,30.055
7/2/24 3:37:01 PM,%RH,28.718
7/2/24 5:37:01 PM,%RH,62.366
7/2/24 7:37:01 PM,%RH,78.647
7/2/24 9:37:01 PM,%RH,92.839
7/2/24 11:37:01 PM,%RH,81.445
8/2/24 1:37:01 AM,%RH,76.384
8/2/24 3:37:01 AM,%RH,72.951
8/2/24 5:37:01 AM,%RH,62.965
8/2/24 7:37:01 AM,%RH,57.524
8/2/24 9:37:01 AM,%RH,55.072
8/2/24 11:37:01 AM,%RH,46.322
8/2/24 1:37:01 PM,%RH,34.034
8/2/24 3:37:01 PM,%RH,64.755
8/2/24 5:37:01 PM,%RH,74.1
8/2/24 7:37:01 PM,%RH,85.854
8/2/24 9:37:01 PM,%RH,91.779
8/2/24 11:37:01 PM,%RH,91.779
9/2/24 1:37:01 AM,%RH,76.384
9/2/24 3:37:01 AM,%RH,83.66
9/2/24 5:37:01 AM,%RH,85.854
9/2/24 7:37:01 AM,%RH,72.374
9/2/24 9:37:01 AM,%RH,71.216
9/2/24 11:37:01 AM,%RH,51.353
9/2/24 1:37:01 PM,%RH,41.206
9/2/24 3:37:01 PM,%RH,65.349
9/2/24 5:37:01 PM,%RH,79.209
9/2/24 7:37:01 PM,%RH,89.106
9/2/24 9:37:01 PM,%RH,94.419
9/2/24 11:37:01 PM,%RH,99.089
10/2/24 1:37:01 AM,%RH,86.943
10/2/24 3:37:01 AM,%RH,85.854
10/2/24 5:37:01 AM,%RH,84.211
10/2/24 7:37:01 AM,%RH,83.66
10/2/24 9:37:01 AM,%RH,76.952
10/2/24 11:37:01 AM,%RH,64.755
10/2/24 1:37:01 PM,%RH,43.774
10/2/24 3:37:01 PM,%RH,34.034
10/2/24 5:37:01 PM,%RH,72.951
10/2/24 7:37:01 PM,%RH,90.179
10/2/24 9:37:01 PM,%RH,94.944
10/2/24 11:37:01 PM,%RH,97.027
11/2/24 1:37:01 AM,%RH,98.575
11/2/24 3:37:01 AM,%RH,97.027
11/2/24 5:37:01 AM,%RH,92.839
11/2/24 7:37:01 AM,%RH,92.839
11/2/24 9:37:01 AM,%RH,87.486
11/2/24 11:37:01 AM,%RH,65.941
11/2/24 1:37:01 PM,%RH,40.561
11/2/24 3:37:01 PM,%RH,32.05
