"Device Name","D2 - 2815041"
"Device Model","Kestrel DROP 2"
"Serial Number","2815040"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2000-01-01 12:10:00 am","73.0","16.3","68.7","24.6","point"
"2000-01-01 12:20:00 am","72.5","16.5","68.4","24.6","point"
"2023-02-07 12:10:00 pm","73.4","52.3","72.7","54.9","point"
"2024-01-13 07:00:23 pm","73.8","83.6","75.9","68.5","point"
"2024-01-13 09:00:23 pm","71.7","79.5","72.9","65.0","point"
"2024-01-13 11:00:23 pm","71.1","79.4","72.3","64.4","point"
"2024-01-14 01:00:23 am","70.5","79.3","71.4","63.8","point"
"2024-01-14 03:00:23 am","70.2","80.6","71.2","63.9","point"
"2024-01-14 05:00:23 am","69.5","79.1","70.3","62.7","point"
"2024-01-14 07:00:23 am","69.2","79.9","69.8","62.7","point"
"2024-01-14 09:00:23 am","70.3","82.8","71.4","64.8","point"
"2024-01-14 11:00:23 am","74.7","71.2","75.7","64.7","point"
"2024-01-14 01:00:23 pm","77.6","55.9","77.4","60.6","point"
"2024-01-14 03:00:23 pm","84.1","56.5","87.6","66.9","point"
"2024-01-14 05:00:23 pm","74.5","82.3","76.6","68.8","point"
"2024-01-14 07:00:23 pm","69.7","91.5","71.1","67.1","point"
"2024-01-14 09:00:23 pm","63.9","93.3","64.6","61.9","point"
"2024-01-14 11:00:23 pm","64.8","89.4","65.1","61.6","point"
"2024-01-15 01:00:23 am","64.8","85.9","64.8","60.5","point"
"2024-01-15 03:00:23 am","61.7","91.2","62.2","59.1","point"
"2024-01-15 05:00:23 am","60.6","94.9","61.3","59.1","point"
"2024-01-15 07:00:23 am","61.8","93.7","62.4","59.9","point"
"2024-01-15 09:00:23 am","65.7","93.4","66.6","63.7","point"
"2024-01-15 11:00:23 am","72.6","71.8","73.2","63.0","point"
"2024-01-15 01:00:23 pm","74.5","69.6","75.4","63.9","point"
"2024-01-15 03:00:23 pm","74.0","73.7","75.2","65.0","point"
"2024-01-15 05:00:23 pm","71.4","83.6","72.7","66.2","point"
"2024-01-15 07:00:23 pm","67.2","89.8","68.0","64.1","point"
"2024-01-15 09:00:23 pm","63.9","93.9","64.8","62.1","point"
"2024-01-15 11:00:23 pm","61.8","95.5","62.6","60.5","point"
"2024-01-16 01:00:23 am","60.4","96.5","61.3","59.3","point"
"2024-01-16 03:00:23 am","59.3","97.0","60.1","58.4","point"
"2024-01-16 05:00:23 am","59.3","97.7","60.3","58.6","point"
"2024-01-16 07:00:23 am","61.0","96.8","62.1","60.1","point"
"2024-01-16 09:00:23 am","64.5","95.5","65.3","63.1","point"
"2024-01-16 11:00:23 am","71.1","82.6","72.5","65.5","point"
"2024-01-16 01:00:23 pm","73.8","71.3","74.7","63.9","point"
"2024-01-16 03:00:23 pm","72.3","80.9","73.8","66.1","point"
"2024-01-16 05:00:23 pm","71.0","90.0","72.7","67.9","point"
"2024-01-16 07:00:23 pm","67.8","92.9","68.9","65.7","point"
"2024-01-16 09:00:23 pm","65.4","96.1","66.6","64.3","point"
"2024-01-16 11:00:23 pm","64.1","97.2","65.1","63.2","point"
"2024-01-17 01:00:23 am","63.8","98.0","64.9","63.2","point"
"2024-01-17 03:00:23 am","63.5","98.5","64.8","63.1","point"
"2024-01-17 05:00:23 am","63.7","99.0","64.9","63.5","point"
"2024-01-17 07:00:23 am","65.1","99.4","66.6","64.9","point"
"2024-01-17 09:00:23 am","66.7","98.9","68.2","66.4","point"
"2024-01-17 11:00:23 am","72.1","81.5","73.6","66.2","point"
"2024-01-17 01:00:23 pm","73.6","85.9","75.7","69.1","point"
"2024-01-17 03:00:23 pm","73.6","85.7","75.7","69.0","point"
"2024-01-17 05:00:23 pm","71.1","85.0","72.5","66.3","point"
"2024-01-17 07:00:23 pm","66.6","91.4","67.5","64.0","point"
"2024-01-17 09:00:23 pm","65.9","95.8","67.1","64.6","point"
