"Device Name","D2 - 2815044"
"Device Model","Kestrel DROP 2"
"Serial Number","2815044"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2000-01-01 12:10:00 am","73.6","16.1","69.3","24.8","point"
"2000-01-01 12:20:00 am","72.8","16.7","68.5","25.0","point"
"2000-01-01 12:30:00 am","73.6","19.4","69.6","29.4","point"
"2023-02-06 12:10:00 pm","74.1","55.4","73.4","57.1","point"
"2024-01-13 08:00:00 pm","72.3","78.0","73.6","65.1","point"
"2024-01-13 10:00:00 pm","71.3","80.0","72.5","64.8","point"
"2024-01-14 12:00:00 am","70.8","79.8","72.0","64.3","point"
"2024-01-14 02:00:00 am","70.4","80.8","71.4","64.2","point"
"2024-01-14 04:00:00 am","70.0","79.8","70.9","63.4","point"
"2024-01-14 06:00:00 am","69.5","79.4","70.3","62.8","point"
"2024-01-14 08:00:00 am","65.4","77.4","64.8","58.2","point"
"2024-01-14 10:00:00 am","76.9","66.0","77.5","64.7","point"
"2024-01-14 12:00:00 pm","74.7","70.1","75.6","64.3","point"
"2024-01-14 02:00:00 pm","81.2","55.1","82.4","63.6","point"
"2024-01-14 04:00:00 pm","73.6","71.4","74.5","63.8","point"
"2024-01-14 06:00:00 pm","72.8","88.3","74.8","69.1","point"
"2024-01-14 08:00:00 pm","67.0","92.4","68.0","64.7","point"
"2024-01-14 10:00:00 pm","63.6","94.2","64.4","61.9","point"
"2024-01-15 12:00:00 am","64.0","89.1","64.2","60.7","point"
"2024-01-15 02:00:00 am","63.1","91.3","63.5","60.5","point"
"2024-01-15 04:00:00 am","60.7","92.7","61.3","58.6","point"
"2024-01-15 06:00:00 am","61.3","95.1","62.1","59.9","point"
"2024-01-15 08:00:00 am","62.3","96.1","63.3","61.2","point"
"2024-01-15 10:00:00 am","67.0","94.9","68.2","65.4","point"
"2024-01-15 12:00:00 pm","71.9","82.9","73.4","66.3","point"
"2024-01-15 02:00:00 pm","74.0","70.4","74.8","63.7","point"
