"Device Name","D2 - 2815033"
"Device Model","Kestrel DROP 2"
"Serial Number","2815033"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2000-01-01 12:10:00 am","73.1","16.3","68.7","24.7","point"
"2000-01-01 12:20:00 am","72.7","16.4","68.5","24.5","point"
"2000-01-01 12:30:00 am","72.4","16.5","68.2","24.5","point"
"2000-01-01 12:40:00 am","73.0","18.3","68.9","27.4","point"
"2023-02-01 11:00:00 am","73.8","54.7","73.0","56.5","point"
"2023-02-01 11:10:00 am","73.5","55.2","73.0","56.5","point"
"2023-02-01 11:20:00 am","73.5","55.4","73.0","56.5","point"
"2023-02-01 11:30:00 am","73.1","56.3","72.7","56.6","point"
"2023-02-01 11:40:00 am","76.6","50.8","75.6","57.0","point"
"2023-02-01 11:50:00 am","74.4","53.0","73.6","56.2","point"
"2023-02-01 12:00:00 pm","73.6","54.4","73.0","56.1","point"
"2023-02-01 12:10:00 pm","73.1","55.3","72.7","56.2","point"
"2023-02-01 12:20:00 pm","72.9","55.7","72.5","56.1","point"
"2023-02-01 12:30:00 pm","72.8","56.0","72.3","56.1","point"
"2023-02-01 12:40:00 pm","72.8","56.1","72.3","56.2","point"
"2023-02-01 12:50:00 pm","72.7","56.2","72.3","56.2","point"
"2023-02-01 01:00:00 pm","72.6","56.3","72.1","56.2","point"
"2023-02-01 01:10:00 pm","72.7","56.2","72.3","56.2","point"
"2023-02-01 01:20:00 pm","72.6","56.1","72.1","56.1","point"
"2023-02-01 01:30:00 pm","72.6","56.0","72.1","56.0","point"
"2023-02-01 01:40:00 pm","72.6","55.9","72.1","56.0","point"
"2023-02-01 01:50:00 pm","72.6","55.8","72.1","55.9","point"
"2023-02-01 02:00:00 pm","72.6","55.7","72.1","55.9","point"
"2023-02-01 02:10:00 pm","72.6","55.5","72.1","55.8","point"
"2023-02-01 02:20:00 pm","72.6","55.4","72.1","55.7","point"
"2023-02-01 02:30:00 pm","72.6","55.3","72.1","55.6","point"
"2023-02-01 02:40:00 pm","72.5","55.1","72.0","55.5","point"
"2023-02-01 02:50:00 pm","72.4","55.1","72.0","55.4","point"
"2023-02-01 03:00:00 pm","72.5","54.8","71.8","55.3","point"
"2023-02-01 03:10:00 pm","72.4","54.7","71.8","55.2","point"
"2023-02-01 03:20:00 pm","72.6","55.0","72.0","55.5","point"
"2023-02-01 03:30:00 pm","72.8","54.6","72.1","55.5","point"
"2023-02-01 03:40:00 pm","72.8","54.4","72.1","55.4","point"
"2023-02-01 03:50:00 pm","72.8","54.4","72.1","55.4","point"
"2023-02-01 04:00:00 pm","72.7","54.5","72.1","55.4","point"
"2023-02-01 04:10:00 pm","72.7","54.6","72.1","55.4","point"
"2023-02-01 04:20:00 pm","72.7","54.6","72.1","55.4","point"
"2023-02-01 04:30:00 pm","72.8","54.7","72.1","55.5","point"
