"Device Name","#2815161"
"Device Model","Kestrel DROP 2"
"Serial Number","2815161"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2024-01-15 09:00:00 am","69.9","77.2","70.5","62.4","point"
"2024-01-15 11:00:00 am","69.5","89.0","70.7","66.1","point"
"2024-01-15 01:00:00 pm","72.6","71.0","73.2","62.6","point"
"2024-01-15 03:00:00 pm","74.9","66.0","75.4","62.7","point"
"2024-01-15 05:00:00 pm","73.2","71.0","73.9","63.2","point"
"2024-01-15 07:00:00 pm","69.7","79.8","70.5","63.2","point"
"2024-01-15 09:00:00 pm","67.7","85.6","68.4","63.2","point"
"2024-01-15 11:00:00 pm","66.5","91.5","67.3","64.0","point"
"2024-01-16 01:00:00 am","66.6","87.3","67.1","62.7","point"
"2024-01-16 03:00:00 am","66.3","84.8","66.6","61.6","point"
"2024-01-16 05:00:00 am","65.0","81.2","64.8","59.1","point"
"2024-01-16 07:00:00 am","61.7","88.5","62.1","58.3","point"
"2024-01-16 09:00:00 am","63.8","92.4","64.4","61.5","point"
"2024-01-16 11:00:00 am","68.3","88.8","69.3","64.9","point"
"2024-01-16 01:00:00 pm","72.7","71.1","73.6","62.8","point"
"2024-01-16 03:00:00 pm","74.9","70.9","75.9","64.8","point"
"2024-01-16 05:00:00 pm","72.7","83.2","74.5","67.3","point"
"2024-01-16 07:00:00 pm","68.2","90.7","69.4","65.3","point"
"2024-01-16 09:00:00 pm","67.4","95.2","68.7","66.0","point"
"2024-01-16 11:00:00 pm","66.6","97.5","68.2","65.9","point"
"2024-01-17 01:00:00 am","65.7","98.0","67.1","65.1","point"
"2024-01-17 03:00:00 am","65.2","98.5","66.6","64.7","point"
"2024-01-17 05:00:00 am","64.7","99.2","65.8","64.5","point"
"2024-01-17 07:00:00 am","64.9","99.1","66.0","64.7","point"
"2024-01-17 09:00:00 am","65.6","98.9","66.9","65.2","point"
"2024-01-17 11:00:00 am","69.3","92.1","70.7","66.9","point"
"2024-01-17 01:00:00 pm","73.4","79.5","75.0","66.7","point"
"2024-01-17 03:00:00 pm","75.0","73.6","76.1","66.0","point"
"2024-01-17 05:00:00 pm","73.2","76.4","74.5","65.3","point"
"2024-01-17 07:00:00 pm","69.1","81.5","69.8","63.2","point"
"2024-01-17 09:00:00 pm","67.5","95.1","68.9","66.0","point"
"2024-01-17 11:00:00 pm","66.6","97.7","68.2","65.9","point"
"2024-01-18 01:00:00 am","66.0","98.4","67.3","65.5","point"
"2024-01-18 03:00:00 am","64.6","98.3","65.8","64.1","point"
"2024-01-18 05:00:00 am","64.6","98.0","65.7","64.0","point"
"2024-01-18 07:00:00 am","64.2","98.1","65.5","63.7","point"
"2024-01-18 09:00:00 am","65.9","97.8","67.3","65.2","point"
"2024-01-18 11:00:00 am","69.4","91.2","70.7","66.7","point"
"2024-01-18 01:00:00 pm","72.1","81.6","73.6","66.2","point"
"2024-01-18 03:00:00 pm","72.6","83.8","74.3","67.4","point"
"2024-01-18 05:00:00 pm","72.8","81.5","74.3","66.8","point"
"2024-01-18 07:00:00 pm","69.0","91.8","70.3","66.5","point"
"2024-01-18 09:00:00 pm","68.3","96.7","69.8","67.3","point"
"2024-01-18 11:00:00 pm","67.3","98.2","68.9","66.8","point"
"2024-01-19 01:00:00 am","67.2","99.0","68.7","66.9","point"
"2024-01-19 03:00:00 am","66.8","99.7","68.4","66.7","point"
"2024-01-19 05:00:00 am","65.9","99.6","67.5","65.8","point"
"2024-01-19 07:00:00 am","64.7","98.7","65.8","64.3","point"
"2024-01-19 09:00:00 am","65.7","100.0","67.3","65.7","point"
"2024-01-19 11:00:00 am","69.3","95.2","70.9","67.8","point"
"2024-01-19 01:00:00 pm","71.1","86.5","72.7","66.8","point"
"2024-01-19 03:00:00 pm","72.1","88.3","73.9","68.4","point"
"2024-01-19 05:00:00 pm","72.8","88.5","74.8","69.2","point"
"2024-01-19 07:00:00 pm","69.2","94.8","70.7","67.6","point"
"2024-01-19 09:00:00 pm","68.1","98.2","69.8","67.6","point"
