"Device Name","D2 - 2815131"
"Device Model","Kestrel DROP 2"
"Serial Number","2815131"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2024-01-09 07:00:00 pm","73.5","80.4","75.0","67.1","point"
"2024-01-09 09:00:00 pm","72.6","82.0","74.1","66.8","point"
"2024-01-09 11:00:00 pm","71.5","83.1","72.9","66.1","point"
"2024-01-10 01:00:00 am","71.0","81.0","72.1","64.8","point"
"2024-01-10 03:00:00 am","70.2","79.1","71.2","63.4","point"
"2024-01-10 05:00:00 am","69.5","79.1","70.3","62.8","point"
"2024-01-10 07:00:00 am","69.2","80.2","69.8","62.8","point"
"2024-01-10 09:00:00 am","69.4","81.0","70.2","63.3","point"
"2024-01-10 11:00:00 am","70.9","78.4","72.0","63.8","point"
"2024-01-10 01:00:00 pm","72.1","72.0","72.9","62.6","point"
"2024-01-10 03:00:00 pm","72.4","73.5","73.2","63.5","point"
"2024-01-10 05:00:00 pm","72.4","76.6","73.6","64.6","point"
"2024-01-10 07:00:00 pm","72.2","79.4","73.6","65.5","point"
"2024-01-10 09:00:00 pm","71.5","79.4","72.7","64.8","point"
"2024-01-10 11:00:00 pm","72.3","74.1","73.2","63.6","point"
"2024-01-11 01:00:00 am","70.7","76.8","71.4","63.0","point"
"2024-01-11 03:00:00 am","70.1","76.1","70.7","62.2","point"
"2024-01-11 05:00:00 am","69.6","76.5","70.3","61.9","point"
"2024-01-11 07:00:00 am","69.4","78.0","69.8","62.3","point"
"2024-01-11 09:00:00 am","68.5","79.5","68.9","61.9","point"
"2024-01-11 11:00:00 am","70.7","65.4","71.1","58.6","point"
"2024-01-11 01:00:00 pm","73.9","63.5","74.1","60.7","point"
"2024-01-11 03:00:00 pm","75.2","66.6","75.6","63.3","point"
"2024-01-11 05:00:00 pm","73.4","74.7","74.3","64.8","point"
"2024-01-11 07:00:00 pm","66.9","83.3","67.3","61.7","point"
"2024-01-11 09:00:00 pm","65.7","84.4","65.8","60.9","point"
"2024-01-11 11:00:00 pm","64.4","83.2","64.4","59.2","point"
"2024-01-12 01:00:00 am","62.2","90.6","62.6","59.4","point"
"2024-01-12 03:00:00 am","63.4","88.2","63.5","59.8","point"
"2024-01-12 05:00:00 am","62.6","90.5","63.1","59.8","point"
"2024-01-12 07:00:00 am","61.8","91.2","62.2","59.2","point"
"2024-01-12 09:00:00 am","63.1","88.6","63.3","59.6","point"
"2024-01-12 11:00:00 am","71.8","60.7","71.8","57.5","point"
"2024-01-12 01:00:00 pm","74.2","66.2","74.7","62.2","point"
"2024-01-12 03:00:00 pm","75.4","59.7","75.2","60.4","point"
"2024-01-12 05:00:00 pm","73.0","74.5","73.9","64.4","point"
"2024-01-12 07:00:00 pm","67.2","78.8","67.3","60.4","point"
"2024-01-12 09:00:00 pm","65.2","81.7","64.9","59.5","point"
"2024-01-12 11:00:00 pm","63.1","89.0","63.3","59.8","point"
"2024-01-13 01:00:00 am","61.8","89.4","62.1","58.6","point"
"2024-01-13 03:00:00 am","60.6","94.4","61.3","59.0","point"
"2024-01-13 05:00:00 am","60.0","96.1","60.8","58.9","point"
"2024-01-13 07:00:00 am","60.4","99.1","61.5","60.2","point"
"2024-01-13 09:00:00 am","63.8","95.3","64.6","62.4","point"
"2024-01-13 11:00:00 am","77.4","71.2","79.2","67.3","point"
"2024-01-13 01:00:00 pm","74.5","62.6","74.7","60.9","point"
"2024-01-13 03:00:00 pm","75.2","64.2","75.4","62.3","point"
"2024-01-13 05:00:00 pm","74.7","74.2","75.9","65.9","point"
"2024-01-13 07:00:00 pm","67.4","90.0","68.4","64.4","point"
"2024-01-13 09:00:00 pm","66.6","94.4","67.8","64.9","point"
"2024-01-13 11:00:00 pm","65.2","95.8","66.4","64.0","point"
"2024-01-14 01:00:00 am","64.1","94.6","64.9","62.5","point"
"2024-01-14 03:00:00 am","64.9","89.2","65.1","61.6","point"
"2024-01-14 05:00:00 am","64.1","90.2","64.6","61.1","point"
"2024-01-14 07:00:00 am","63.7","92.7","64.4","61.5","point"
"2024-01-14 09:00:00 am","64.7","94.5","65.5","63.1","point"
"2024-01-14 11:00:00 am","78.8","65.0","80.8","66.1","point"
"2024-01-14 01:00:00 pm","75.4","69.8","76.3","64.8","point"
"2024-01-14 03:00:00 pm","77.0","63.2","77.5","63.5","point"
"2024-01-14 05:00:00 pm","75.1","79.4","77.0","68.2","point"
"2024-01-14 07:00:00 pm","67.2","88.4","68.0","63.7","point"
"2024-01-14 09:00:00 pm","65.6","87.7","65.8","61.9","point"
"2024-01-14 11:00:00 pm","65.1","84.6","65.1","60.3","point"
"2024-01-15 01:00:00 am","64.5","86.7","64.6","60.4","point"
"2024-01-15 03:00:00 am","63.8","85.3","63.7","59.3","point"
"2024-01-15 05:00:00 am","60.6","92.0","61.3","58.3","point"
"2024-01-15 07:00:00 am","59.6","95.3","60.4","58.3","point"
"2024-01-15 09:00:00 am","63.2","96.3","64.2","62.2","point"
"2024-01-15 11:00:00 am","77.4","70.7","79.2","67.2","point"
"2024-01-15 01:00:00 pm","75.3","65.8","75.6","63.1","point"
"2024-01-15 03:00:00 pm","76.1","67.9","76.8","64.7","point"
"2024-01-15 05:00:00 pm","73.0","76.4","74.1","65.1","point"
"2024-01-15 07:00:00 pm","67.9","82.5","68.4","62.4","point"
"2024-01-15 09:00:00 pm","66.2","90.4","67.1","63.3","point"
"2024-01-15 11:00:00 pm","65.4","94.3","66.4","63.7","point"
"2024-01-16 01:00:00 am","64.8","92.9","65.5","62.7","point"
"2024-01-16 03:00:00 am","63.5","94.2","64.4","61.8","point"
"2024-01-16 05:00:00 am","62.5","91.4","63.0","60.0","point"
"2024-01-16 07:00:00 am","61.6","91.4","62.1","59.0","point"
"2024-01-16 09:00:00 am","63.7","91.2","64.0","61.1","point"
"2024-01-16 11:00:00 am","77.6","73.4","79.9","68.5","point"
"2024-01-16 01:00:00 pm","74.8","67.1","75.2","63.1","point"
"2024-01-16 03:00:00 pm","74.1","77.7","75.4","66.7","point"
"2024-01-16 05:00:00 pm","72.1","82.7","73.8","66.6","point"
"2024-01-16 07:00:00 pm","67.7","90.5","68.7","64.9","point"
"2024-01-16 09:00:00 pm","67.4","96.6","68.7","66.4","point"
"2024-01-16 11:00:00 pm","66.6","98.8","68.2","66.3","point"
"2024-01-17 01:00:00 am","65.8","99.2","67.1","65.5","point"
"2024-01-17 03:00:00 am","65.3","99.4","66.6","65.1","point"
"2024-01-17 05:00:00 am","65.2","100.0","66.7","65.2","point"
"2024-01-17 07:00:00 am","64.6","98.8","65.8","64.3","point"
"2024-01-17 09:00:00 am","65.7","97.6","67.1","65.0","point"
"2024-01-17 11:00:00 am","78.3","75.3","81.5","69.9","point"
"2024-01-17 01:00:00 pm","73.0","83.4","74.8","67.7","point"
"2024-01-17 03:00:00 pm","72.4","80.1","73.8","65.9","point"
"2024-01-17 05:00:00 pm","73.0","75.3","74.1","64.7","point"
"2024-01-17 07:00:00 pm","67.6","84.9","68.2","62.9","point"
"2024-01-17 09:00:00 pm","68.2","96.2","69.8","67.1","point"
"2024-01-17 11:00:00 pm","67.0","98.2","68.5","66.5","point"
"2024-01-18 01:00:00 am","66.2","98.7","67.6","65.8","point"
"2024-01-18 03:00:00 am","64.5","99.3","65.7","64.3","point"
"2024-01-18 05:00:00 am","64.2","99.2","65.5","64.0","point"
"2024-01-18 07:00:00 am","63.6","98.9","64.8","63.2","point"
"2024-01-18 09:00:00 am","67.0","96.6","68.4","66.0","point"
"2024-01-18 11:00:00 am","73.9","81.4","75.6","67.8","point"
"2024-01-18 01:00:00 pm","72.3","78.4","73.4","65.2","point"
"2024-01-18 03:00:00 pm","75.6","78.5","77.5","68.5","point"
"2024-01-18 05:00:00 pm","72.8","81.7","74.3","66.9","point"
"2024-01-18 07:00:00 pm","68.6","92.3","70.0","66.3","point"
"2024-01-18 09:00:00 pm","67.6","97.2","68.9","66.8","point"
"2024-01-18 11:00:00 pm","66.7","99.1","68.2","66.4","point"
"2024-01-19 01:00:00 am","66.9","99.8","68.7","66.9","point"
"2024-01-19 03:00:00 am","66.1","99.3","67.5","65.9","point"
"2024-01-19 05:00:00 am","65.3","100.0","66.9","65.3","point"
"2024-01-19 07:00:00 am","63.3","100.0","64.8","63.3","point"
"2024-01-19 09:00:00 am","65.8","99.4","67.3","65.6","point"
"2024-01-19 11:00:00 am","71.0","89.6","72.5","67.8","point"
"2024-01-19 01:00:00 pm","75.2","77.1","76.8","67.6","point"
"2024-01-19 03:00:00 pm","75.7","81.7","77.7","69.7","point"
"2024-01-19 05:00:00 pm","73.1","86.0","75.2","68.7","point"
"2024-01-19 07:00:00 pm","69.0","94.3","70.5","67.3","point"
"2024-01-19 09:00:00 pm","68.9","98.2","70.5","68.3","point"
"2024-01-19 11:00:00 pm","65.9","98.8","67.3","65.6","point"
"2024-01-20 01:00:00 am","66.2","99.6","67.8","66.1","point"
"2024-01-20 03:00:00 am","65.1","100.0","66.6","65.0","point"
"2024-01-20 05:00:00 am","62.9","98.1","64.0","62.3","point"
"2024-01-20 07:00:00 am","63.2","99.5","64.6","63.1","point"
"2024-01-20 09:00:00 am","65.0","98.8","66.4","64.6","point"
"2024-01-20 11:00:00 am","75.8","82.1","78.3","70.0","point"
"2024-01-20 01:00:00 pm","75.0","75.9","76.3","66.8","point"
