"Device Name","D2 - 2815036"
"Device Model","Kestrel DROP 2"
"Serial Number","2815035"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2000-01-01 12:10:00 am","72.8","16.3","68.5","24.5","point"
"2000-01-01 12:20:00 am","72.3","16.6","68.0","24.5","point"
"2000-01-01 12:30:00 am","72.2","17.4","68.2","25.6","point"
"2000-01-01 12:40:00 am","73.2","16.5","68.9","25.1","point"
"2023-02-06 02:20:00 pm","73.6","51.2","72.7","54.4","point"
"2023-02-06 02:30:00 pm","74.4","49.9","73.2","54.5","point"
"2023-02-06 02:40:00 pm","73.5","50.0","72.3","53.7","point"
"2024-01-11 09:00:00 pm","71.1","76.3","72.1","63.3","point"
"2024-01-11 09:00:37 pm","71.1","76.3","72.1","63.3","point"
"2024-01-11 11:00:37 pm","70.2","77.4","71.1","62.8","point"
"2024-01-12 01:00:37 am","69.8","77.6","70.3","62.5","point"
"2024-01-12 03:00:37 am","69.5","77.6","70.2","62.2","point"
"2024-01-12 05:00:37 am","69.0","77.6","69.4","61.8","point"
"2024-01-12 07:00:37 am","68.5","77.8","68.7","61.3","point"
"2024-01-12 09:00:37 am","69.9","72.8","70.3","60.8","point"
"2024-01-12 11:00:37 am","68.3","77.7","68.5","61.0","point"
"2024-01-12 01:00:37 pm","73.4","65.8","73.6","61.2","point"
"2024-01-12 03:00:37 pm","75.6","61.0","75.6","61.2","point"
"2024-01-12 05:00:37 pm","74.9","60.5","74.8","60.3","point"
"2024-01-12 07:00:37 pm","69.1","79.2","69.8","62.4","point"
"2024-01-12 09:00:37 pm","66.0","82.8","66.0","60.6","point"
"2024-01-12 11:00:37 pm","65.3","85.8","65.5","61.0","point"
"2024-01-13 01:00:37 am","64.1","86.8","64.2","60.1","point"
"2024-01-13 03:00:37 am","63.6","90.1","64.0","60.6","point"
"2024-01-13 05:00:37 am","62.3","93.3","63.0","60.4","point"
"2024-01-13 07:00:37 am","62.2","95.6","63.0","61.0","point"
"2024-01-13 09:00:37 am","64.2","94.6","64.9","62.6","point"
"2024-01-13 11:00:37 am","68.9","83.7","69.8","63.8","point"
"2024-01-13 01:00:37 pm","73.9","71.3","74.7","64.0","point"
"2024-01-13 03:00:37 pm","75.5","61.6","75.6","61.4","point"
"2024-01-13 05:00:37 pm","74.4","75.6","75.7","66.2","point"
"2024-01-13 07:00:37 pm","68.7","88.6","69.8","65.2","point"
"2024-01-13 09:00:37 pm","67.1","93.3","68.2","65.1","point"
"2024-01-13 11:00:37 pm","64.6","95.5","65.5","63.3","point"
