"Model","Term","Estimate","SE","t_value","p_value"
"Q1_weekly_T","(Intercept)",21.5818,0.1146,188.377,"<0.0001"
"Q1_weekly_T","distance_to_edge_m",-0.0033,0.0012,-2.759,"0.0063"
"Q1_weekly_T","year_factor2024",0.5279,0.0956,5.523,"<0.0001"
"Q1_weekly_T","distance_to_edge_m:year_factor2024",0.0017,0.0014,1.255,"0.2099"
"Q1_weekly_RH","(Intercept)",72.1059,0.7337,98.281,"<0.0001"
"Q1_weekly_RH","distance_to_edge_m",0.0154,0.0082,1.865,"0.0633"
"Q1_weekly_RH","year_factor2024",12.4944,0.5452,22.915,"<0.0001"
"Q1_weekly_RH","distance_to_edge_m:year_factor2024",-0.0036,0.0081,-0.45,"0.6531"
"Q2_daily_T_SD","(Intercept)",3.3057,0.155,21.331,"<0.0001"
"Q2_daily_T_SD","distance_to_edge_m",1e-04,5e-04,0.193,"0.8475"
"Q2_daily_T_SD","year_factor2024",-0.5312,0.0183,-29.077,"<0.0001"
"Q2_daily_T_SD","distance_to_edge_m:year_factor2024",-1e-04,3e-04,-0.489,"0.6251"
"Q2_daily_RH_SD","(Intercept)",14.6517,1.25,11.721,"8e-04"
"Q2_daily_RH_SD","distance_to_edge_m",5e-04,0.0031,0.167,"0.8675"
"Q2_daily_RH_SD","year_factor2024",-3.2016,0.1231,-25.999,"<0.0001"
"Q2_daily_RH_SD","distance_to_edge_m:year_factor2024",-0.0054,0.0019,-2.899,"0.0037"
"Q2_daily_RH_CV","(Intercept)",21.8267,1.9421,11.238,"8e-04"
"Q2_daily_RH_CV","distance_to_edge_m",-0.0065,0.0058,-1.124,"0.2635"
"Q2_daily_RH_CV","year_factor2024",-7.6029,0.2176,-34.946,"<0.0001"
"Q2_daily_RH_CV","distance_to_edge_m:year_factor2024",-0.004,0.0033,-1.229,"0.219"
"Q3_weekly_T","(Intercept)",21.2965,0.1428,149.097,"<0.0001"
"Q3_weekly_T","distance_to_edge_m",-0.0027,0.0015,-1.793,"0.0745"
"Q3_weekly_T","year_factor2024",0.6969,0.131,5.319,"<0.0001"
"Q3_weekly_T","edge_typeopen",0.6261,0.2137,2.93,"0.0046"
"Q3_weekly_T","distance_to_edge_m:year_factor2024",6e-04,0.0018,0.317,"0.7516"
"Q3_weekly_T","distance_to_edge_m:edge_typeopen",-0.0012,0.0026,-0.47,"0.6388"
"Q3_weekly_T","year_factor2024:edge_typeopen",-0.3627,0.1935,-1.874,"0.0611"
"Q3_weekly_T","distance_to_edge_m:year_factor2024:edge_typeopen",0.0018,0.0029,0.63,"0.5291"
"Q3_weekly_RH","(Intercept)",73.6881,0.9283,79.377,"<0.0001"
"Q3_weekly_RH","distance_to_edge_m",0.0154,0.0105,1.465,"0.145"
"Q3_weekly_RH","year_factor2024",10.9588,0.7349,14.912,"<0.0001"
"Q3_weekly_RH","edge_typeopen",-3.7581,1.3836,-2.716,"0.0081"
"Q3_weekly_RH","distance_to_edge_m:year_factor2024",0.0165,0.0103,1.604,"0.1088"
"Q3_weekly_RH","distance_to_edge_m:edge_typeopen",0.0115,0.0173,0.665,"0.5068"
"Q3_weekly_RH","year_factor2024:edge_typeopen",3.2028,1.1018,2.907,"0.0037"
"Q3_weekly_RH","distance_to_edge_m:year_factor2024:edge_typeopen",-0.0425,0.0171,-2.481,"0.0132"
"Q3_daily_T_SD","(Intercept)",3.2092,0.1635,19.631,"<0.0001"
"Q3_daily_T_SD","distance_to_edge_m",0.0018,7e-04,2.557,"0.0125"
"Q3_daily_T_SD","year_factor2024",-0.3958,0.0242,-16.338,"<0.0001"
"Q3_daily_T_SD","edge_typeopen",0.2171,0.1097,1.98,"0.055"
"Q3_daily_T_SD","distance_to_edge_m:year_factor2024",-0.0013,3e-04,-3.894,"<0.0001"
"Q3_daily_T_SD","distance_to_edge_m:edge_typeopen",-0.0038,0.001,-3.946,"1e-04"
"Q3_daily_T_SD","year_factor2024:edge_typeopen",-0.3125,0.0368,-8.501,"<0.0001"
"Q3_daily_T_SD","distance_to_edge_m:year_factor2024:edge_typeopen",0.0031,6e-04,5.271,"<0.0001"
